baseadas-em-experiencias-de-demissao
Discursos Críticos Através da Poética Visual de,,,,,,https://www.pacolivros.com.br/discursos-criticos-atraves-da-poetica-
"",Tales Frey,Artes e Fotografia,R$,"25,90","R$ 12,95",
Márcia X.,,,,,,visual-de-marcia-x-2-edicao
"",,,,,,https://www.pacolivros.com.br/o-ritual-do-ator-em-grupo-
O Ritual do Ator em Grupo,Fernando Alves Rocha,Artes e Fotografia,R$,"49,90","R$ 24,95",
"",,,,,,treinamento-de-atores-como-cultura-coletiva
Artes da Cena: Processos e Práticas,Narciso Larangeira Telles Da Silva,Artes e Fotografia,R$,"45,90","R$ 22,95",https://www.pacolivros.com.br/Artes-da-Cena-Processos-e-Praticas
"",,,,,,https://www.pacolivros.com.br/cinema-e-religiao-perguntas-e-
Cinema & Religião,Luiz Antonio Vadico,Artes e Fotografia,R$,"22,90","R$ 11,45",
"",,,,,,respostas
"",,,,,,https://www.pacolivros.com.br/a-condicao-do-ator-em-formacao-por-
A CONDIÇÃO DO ATOR EM FORMAÇÃO,Tiago Moreira Fortes,Artes e Fotografia,R$,"49,90","R$ 24,95",
"",,,,,,uma-fenomenologia-da-aprendizagem-e-uma-politizacao-do-debate
"",Larissa Natália Ferreira De,,,,,https://www.pacolivros.com.br/duos-para-viola-e-violoncelo-catalogo-
Duos Para Viola e Violoncelo,,Artes e Fotografia,R$,"45,90","R$ 22,95",
"",Mattos,,,,,de-obras-dos-secs-xx-e-xxi-e-a-construcao-da-sonoridade-do-duo-na-
"",Francisco Geraldo De Magela,,,,,
OS NORDESTES E O TEATRO BRASILEIRO,,Artes e Fotografia,R$,"52,90","R$ 26,45",https://www.pacolivros.com.br/os-nordestes-e-o-teatro-brasileiro
"",Lima Filho,,,,,
"",,,,,,https://www.pacolivros.com.br/raizes-e-sementes-mestres-e-
Raízes e Sementes,Narciso Larangeira Telles Da Silva,Artes e Fotografia,R$,"42,90","R$ 21,45",
"",,,,,,caminhos-do-teatro-na-america-latina
"",,,,,,https://www.pacolivros.com.br/corporeidades-deslizantes-a-cena-
Corporeidades Deslizantes,Gabriela Pereira Fregoneis,Artes e Fotografia,R$,"42,90","R$ 21,45",
"",,,,,,explorada-para-alem-do-sujeito
"",,,,,,https://www.pacolivros.com.br/imagens-do-brasil-o-cinema-novo-e-
IMAGENS DO BRASIL,Wolney Vianna Malafaia,Artes e Fotografia,R$,"59,90","R$ 29,95",
"",,,,,,as-metamorfoses-da-identidade-nacional
"",,,,,,https://www.pacolivros.com.br/trilogia-do-armario-encenacao-teatral-
Trilogia do Armário,Kauan Amora Nunes,Artes e Fotografia,R$,"47,90","R$ 23,95",
"",,,,,,como-pratica-de-liberdade-no-processo-de-estilizacao-da-vida
"",,,,,,https://www.pacolivros.com.br/charles-chaplin-confrontos-e-
