"TítuloAutorPreço                  de capaPreço com desconto 50%",,,
O MELHOR DA MÚSICA POPULAR BRASILEIRA - VOL. V,Mário Mascarenhas,"R$ 110,00","R$ 55,00"
O MELHOR DA MÚSICA POPULAR BRASILEIRA - VOL. VI,Mário Mascarenhas,"R$ 110,00","R$ 55,00"
O MELHOR DA MÚSICA POPULAR BRASILEIRA - VOL. VII,Mário Mascarenhas,"R$ 110,00","R$ 55,00"
O MELHOR DA MÚSICA POPULAR BRASILEIRA - VOL. VIII,Mário Mascarenhas,"R$ 110,00","R$ 55,00"
O MELHOR DA MÚSICA POPULAR BRASILEIRA - VOL. X,Mário Mascarenhas,"R$ 110,00","R$ 55,00"
O MELHOR DE ADONIRAN BARBOSA,Adoniran Barbosa,"R$ 61,00","R$ 30,50"
O MELHOR DE BARÃO VERMELHO,Barão Vermelho,"R$ 85,00","R$ 42,50"
O MELHOR DE CARTOLA,Cartola,"R$ 67,00","R$ 33,50"
O MELHOR DE CHIQUINHA GONZAGA,Chiquinha Gonzaga,"R$ 45,00","R$ 22,50"
O MELHOR DE ELIS REGINA,Elis Regina,"R$ 75,00","R$ 37,50"
O MELHOR DE GONZAGUINHA,Gonzaguinha,"R$ 67,00","R$ 33,50"
O MELHOR DE HERIVELTO MARTINS,Herivelto Martins,"R$ 72,00","R$ 36,00"
O MELHOR DE JOHNNY ALF,Johnny Alf,"R$ 67,00","R$ 33,50"
O MELHOR DE LEGIÃO URBANA,Legião Urbana,"R$ 75,00","R$ 37,50"
O MELHOR DE LUPICÍNIO RODRIGUES,Lupicínio Rodrigues,"R$ 63,00","R$ 31,50"
O MELHOR DE PIXINGUINHA,Pixinguinha,"R$ 77,00","R$ 38,50"
O MELHOR DE ROBERTO CARLOS - VOL. 1,Roberto Carlos,"R$ 85,00","R$ 42,50"
O MELHOR DE ROBERTO CARLOS - VOL. 2,Roberto Carlos,"R$ 85,00","R$ 42,50"
O MELHOR DE ROBERTO MENESCAL,Roberto Menescal,"R$ 75,00","R$ 37,50"
O MELHOR DE ZEQUINHA ABREU,Zequinha Abreu,"R$ 47,00","R$ 23,50"
O MELHOR DO CHORO BRASILEIRO - VOL. I,Diversos,"R$ 67,00","R$ 33,50"
O MELHOR DO CHORO BRASILEIRO - VOL. II,Diversos,"R$ 67,00","R$ 33,50"
O MELHOR DO CHORO BRASILEIRO - VOL. III,Diversos,"R$ 67,00","R$ 33,50"
O MELHOR DO ROCK BRASIL - VOL. I,Diversos,"R$ 85,00","R$ 42,50"
O MELHOR DO ROCK BRASIL - VOL. II,Diversos,"R$ 85,00","R$ 42,50"
O MELHOR DO ROCK BRASIL - VOL. III,Diversos,"R$ 85,00","R$ 42,50"
O PEQUENO PIANISTA - OP. 189,Ludwig Köhler,"R$ 25,00","R$ 12,50"
