"LISTA DE LIVROS  - Festa Virtualdo Livroda USP 2021"
TÍTULO,PREÇO CAPA,"PREÇO COMDESCONTO"
"Grande Livro Do Zack, O","R$ 36,90","R$ 12,92"
"Grande Mergulho, O","R$ 59,90","R$ 29,95"
Grandes Mulheres que Fizeram História,"R$ 44,90","R$ 22,45"
Grandes Mulheres Que Mudaram O Mundo,"R$ 44,90","R$ 22,45"
Grandes Mulheres que mudaram o Mundo – Livro de Atividades,"R$ 44,90","R$ 22,45"
Grandes Mulheres que salvaram o Planeta,"R$ 44,90","R$ 22,45"
Guia para Assassinos sobre Amor e Traição,"R$ 49,90","R$ 24,95"
Hazel Wood: A Origem Do Azar,"R$ 54,90","R$ 27,45"
Histórias De Ninar Para Garotas Rebeldes,"R$ 119,90","R$ 59,95"
Histórias De Ninar Para Garotas Rebeldes 2,"R$ 119,90","R$ 59,95"
Hoje Me Sinto,"R$ 42,90","R$ 21,45"
Imagine,"R$ 49,90","R$ 24,95"
"Império Dos Lobos, O","R$ 49,90","R$ 17,47"
Insígnia: A Arma Secreta,"R$ 44,90","R$ 15,72"
Insígnia: Catalisador,"R$ 44,90","R$ 15,72"
Insígnia: O Vortex Negro,"R$ 44,90","R$ 15,72"
Insônia,"R$ 44,90","R$ 15,72"
Já sei Amarrar o meu Tênis,"R$ 54,90","R$ 43,92"
Já sei Brincar de Passa-Cordão,"R$ 54,90","R$ 43,92"
Já sei Escovar os meus Dentes,"R$ 54,90","R$ 43,92"
Já sei ver as Horas,"R$ 54,90","R$ 43,92"
"Jane, Sem Limites","R$ 49,90","R$ 24,95"
"Jogo Infinito: A Doutrina Da Morte, O","R$ 44,90","R$ 15,72"
"Jovens, Talentosos Negros","R$ 64,90","R$ 32,45"
Kit - Melhores Amigos - Diário de um Banana,"R$ 74,90","R$ 37,45"
La Huella: Histórias E Receitas de um Restaurante,"R$ 124,90","R$ 43,72"
"Ladra do Demônio, A","R$ 84,90","R$ 42,45"
Ladrões De Planeta,"R$ 34,90","R$ 12,22"
Le Petit – O livro do Bebê,"R$ 129,90","R$ 64,95"
Leão: O Signo Autoconfiante,"R$ 19,90","R$ 9,95"
Legendtopia: A Batalha De Terr,"R$ 44,90","R$ 22,45"
Leis Da Tentação,"R$ 44,90","R$ 15,72"
Lena e o Gato dos Olhos Dourados (Coleção Minimiki),"R$ 19,90","R$ 9,95"
Leve,"R$ 39,90","R$ 19,95"
Leve E Saudável: A Moderna Cozinha Vegetariana Para O Dia A Dia,"R$ 159,90","R$ 55,97"
Libra: O Signo Diplomático,"R$ 19,90","R$ 9,95"
Lição De Pesca,"R$ 39,90","R$ 19,95"
Lições de uma Personal Organizer,"R$ 48,90","R$ 24,45"
"Livro Da Selva Selvagem, O","R$ 59,90","R$ 29,95"
"Livro Das Mentiras, O","R$ 39,90","R$ 19,95"
"Livro Do Medo, O","R$ 39,90","R$ 19,95"
Livro Dos Vilões,"R$ 39,90","R$ 19,95"
Loucura,"R$ 44,90","R$ 22,45"
"Loucura Discreta, Uma","R$ 44,90","R$ 22,45"
"Luta Pela Liberdade, A","R$ 39,90","R$ 13,97"
Macarons: Cozinhar - Decorar - Apreciar,"R$ 54,90","R$ 19,22"
"Mãe, Escrevi um Livro sobre Você","R$ 34,90","R$ 17,45"
"Mãe, Fique sempre Comigo (Capa Dura)","R$ 29,90","R$ 14,95"
"Mãe, Para Sempre Em Meu Coração","R$ 29,90","R$ 14,95"
"Mãe, Sublime Amor","R$ 29,90","R$ 14,95"
Mais Do Que Palavras Podem Dizer,"R$ 49,90","R$ 24,95"
"Mais fortes, mais velozes, mais belos","R$ 54,90","R$ 27,45"
"Maldição Do Vencedor, A","R$ 49,90","R$ 24,95"
Mandalas Art Nouveau,"R$ 44,90","R$ 15,72"
Mandalas Astecas: Desenhos Ancestrais Para Colorir,"R$ 34,90","R$ 12,22"
Mandalas Da Índia,"R$ 44,90","R$ 15,72"
Mandalas De Al-Andaluz,"R$ 49,90","R$ 17,47"
Mandalas De Arte Japonesa,"R$ 34,90","R$ 12,22"
Mandalas De Bolso 1,"R$ 24,90","R$ 8,72"
Mandalas De Bolso 10,"R$ 24,90","R$ 8,72"
Mandalas De Bolso 11,"R$ 24,90","R$ 8,72"
Mandalas De Bolso 12,"R$ 24,90","R$ 8,72"
Mandalas De Bolso 13,"R$ 24,90","R$ 8,72"
Mandalas De Bolso 14,"R$ 24,90","R$ 8,72"
Mandalas De Bolso 2,"R$ 24,90","R$ 8,72"
Mandalas De Bolso 3,"R$ 24,90","R$ 8,72"
Mandalas De Bolso 4,"R$ 24,90","R$ 8,72"
Mandalas De Bolso 5,"R$ 24,90","R$ 8,72"
Mandalas De Bolso 6,"R$ 24,90","R$ 8,72"
Mandalas De Bolso 7,"R$ 24,90","R$ 8,72"
Mandalas De Bolso 8,"R$ 24,90","R$ 8,72"
