Título,Autor,"Preço decapa","Preço comdesconto"
EM BENEFÍCIO DO POVO,"Jorun Poettering, Gefferson Ramos Rodrigues, Orgs.","R$72,00","36,00"
PERFORMANCE E RITUAL,Denise Mancebo Zenicola,"R$36,80","18,40"
"FUTURO DA CRIAÇÃO, O","Jürgen Moltmann, Levy Bastos","R$52,40","26,20"
JOÃO DO RIO E SEUS CINEMATOGRAPHOS,Aline da Silva Novaes,"R$44,80","22,40"
RELAÇÕES COM OS CONSUMIDORES,Leticia Casotti e Maribel Suarez,"R$64,22","32,11"
PENSANDO UM CONTINENTE - A REVISTA AMERICANA...,Fernando Vale Castro,"R$49,60","24,80"
HISTÓRIA DA FILOSOFIA OCIDENTAL,José Silveira da Costa,"R$169,00","84,50"
"PAPÉIS SELADOS - CARREIRA JURÍDICA, ESTRATÉGIAS...",Marcelo da Rocha Wanderley,"R$75,00","37,50"
"MÚLTIPLAS FACES DA ESCRAVIDÃO,AS",Carlos Leonardo Kelmer Mathias,"R$76,51","38,26"
COMUNICAÇÃO E SOCIABILIDADE,"Janice Caiafa e Mohammed Elhajji, orgs.","R$53,80","26,90"
ECONOMIA POLÍTICA DA COMUNICAÇÃO:CONVERGÊNCIA...,"Valério Cruz Brittos, organizador","R$67,30","33,65"
PRESOS POLÍTICOS E PERSEGUIDOS ESTRANGEIROS NA ...,Marly de Almeida Gomes Vianna et alii,"R$62,69","31,35"
CONSTRUÇÕES DO TEMPO E DO OUTRO,"João Freire Filho e Paulo Vaz, orgs.","R$55,20","27,60"
POR LÓGICA DEUS EXISTE,Jacobb Gonik,"R$39,00","19,50"
HISTÓRIAS DE RECOMEÇO: PRIVATIZAÇÃO E DOWNSIZING,Ursula Wetzel,"R$53,80","26,90"
"GERAÇÃO DO CINEMA NOVO, A",Pedro Henrique Simonard Santos,"R$37,90","18,95"
"MAR DE RIQUEZA,TERRAS DE CONTRASTES:O PETROLEO NO","Rosélia Piquet, organizadora","R$56,00","28,00"
MARKETING DA SUSTENTABILIDADE HABITACIONAL,Gisela Santana,"R$58,00","29,00"
SALARIO MINIMO - COMBATENDO DESIGUALDADES,Eduardo Paes,"R$47,33","23,67"
FRONTEIRAS E DIVERSIDADES CULTURAIS NO SÉCULO XXI,Tania Barros Maciel et alii,"R$62,69","31,35"
"INQUISIÇÃO CONTESTADA, A",Yllan de Mattos,"R$55,20","27,60"
CURRÍCULO DA DISCIP.ESCOL.HIST.NO COLÉGIO PEDRO II,Beatriz Boclin Marques dos Santos,"R$69,00","34,50"
MEIO SÉCULO DE 1968,"Cid Benjamin e Felipe Demier, organizadores","R$54,00","27,00"
HISTÓRIA DA PROFISSÃO DOCENTE NO BRASIL E EM PORT,Tereza Fachada Levy Cardoso,"R$54,60","27,30"
REPRESENTAÇÕES DO CONSUMO,Everardo Rocha,"R$36,80","18,40"
CAMP MANGUEIRA,Lurdinha Castro,"R$43,90","21,95"
"MELHORES PIADAS DE MINEIRINHO, AS","Luís Pimentel, ilustrador Amorim","R$19,00","9,50"
CAMINHOS CRUZADOS:A VIDA E A MÚSICA DE NEWTON MEN,"Marcelo Câmara, Jorge Melloe e Rogério Guimarães","R$49,90","24,95"
SÓ PARA INICIADOS...O JOGO POLÍTICO NA ANTIGA CAP,Surama Conde Sá Pinto,"R$59,62","29,81"
CULTIVANDO A VIDA,Wagner Canalonga,"R$27,00","13,50"
"MUNDO DA ARTE POPULAR BRASILEIRA, O",Angela Mascelani,"R$120,00","60,00"
"INTELECTUAIS E A IMPRENSA, OS",Magali Engel et alii,"R$53,24","26,62"
ME EMPRESTA O SEU NOME?,Cecilia Lima de Queirós Mattoso,"R$52,40","26,20"
IT'S RAINING MEN,Paula Klien,"R$88,00","44,00"
"CHICO CLARIAO, FUGIU...100 CAUSOS",Nani  (Ernani Diniz Lucas),"R$29,00","14,50"
300 MEDITACOES PARA O ROSARIO,Lilá Sant ́Anna,"R$24,00","12,00"
PALADAR CARIOCA,Pedro Bijos,"R$72,00","36,00"
COMUNICAÇÃO EMPRESARIAL:TRANSFORMAÇÔES E TENDÊNCIA,"Boanerges Lopes, organizador","R$46,70","23,35"
POR DENTRO DE COPACABANA,Rogerio Goldfeld Cardeman,"R$69,90","34,95"
DIALOGANDO COM CLIO,"Fábio de Souza Lessa e Regina Bustamante, orgs.","R$55,20","27,60"
PORTUGAL - A REVOLUÇÃO E A DESCOLONIZAÇÃO,Mauricio Paiva,"R$58,90","29,45"
"COMUNICAÇÃO, TEMPO, HISTÓRIA",Letícia Cantarela Matheus,"R$58,00","29,00"
ONTOLOGIA DA VIOLÊNCIA: O ENIGMA DA CRUELDADE,Alexandre Marques Cabral et alii,"R$62,69","31,35"
"DESAFIO DA REFORMA POLÍTICA, O",Cristian Klein,"R$34,30","17,15"
"CIDADE MULHER, A, 3A. EDIÇÃO","Cláudia de Oliveira,Claudia Mesquita,Joëlle Roucho","R$54,00","27,00"
EXPRESSÕES ARTISTICAS URBANAS,"Lígia Ferro, Otávio Raposo, Renata de Sá Gonçalves","R$54,90","27,45"
ARTE CULTURA EM TRÂNSITO,Giselle Ruiz,"R$37,00","18,50"
NAO REME CONTRA A MARE,Gelder Manhães,"R$42,00","21,00"
DELICIAS DE SOJA E GLUTEN,Flor Alves Marques,"R$14,90","7,45"
RELIGIOSIDADE E PERFORMANCE,"Marcia Contins,Vânia Penha-Lopes,Carmem Silvia Mor","R$59,00","29,50"
"INIMIGO DO SÉCULO, O",Helga Gahyva,"R$56,60","28,30"
"RELACOES PUBLICAS, OPCAO PELO CIDADÃO",Roberto Fonseca Vieira,"R$28,40","14,20"
CULTURA ILEGAL,Arthur Coelho Bezerra,"R$58,08","29,04"
"MELHORES PIADAS INOCENTES, AS",Luís Pimentel,"R$19,00","9,50"
ACARI CULTURAL,"Adriana Facina, organizadora","R$42,50","21,25"
CRIAÇÕES COMPARTILHADAS,Ana Paula Cavalcanti Simioni et alii,"R$64,22","32,11"
