ISBN,TÍTULO,EDITORA,ASSUNTO,AUTOR,"PREÇO DECAPA","PREÇO NAFEIRA (50%)",LINK
"",Aspectos do novo radicalismo de,,,"W. ADORNO,",,,
9786557110089,,Editora Unesp,Filosofia,,"R$ 32,00","R$ 16,00",radicalismo-de-direita-W-ADORNO-THEODOR-EDITORA-
"",direita,,,THEODOR,,,
"",,,,,,,UNESP/p
"",,,,"MORETTO, FULVIA M.",,,https://www.livrariaunesp.com.br/Aspectos-do-teatro-
9788571396890,Aspectos do teatro ocidental,Editora Unesp,Artes,,"R$ 58,00","R$ 29,00",
"",,,,L.,,,ocidental-MORETTO-FULVIA-M-L-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Aspectos-endocrinos-
"",Aspectos endócrinos de interesse à,,"Ciências Biológicas, Exatas,","ALMEIDA, JANETE",,,
9788571392373,,Editora Unesp,,,"R$ 32,00","R$ 16,00",de-interesse-a-estomatologia-ALMEIDA-JANETE-DIAS-
"",estomatologia,,Naturais e da Terra,DIAS,,,
"",,,,,,,EDITORA-UNESP/p
"",,,Política e Relações,,,,https://www.livrariaunesp.com.br/assimetria-e-a-vida-A-
9788539306107,"assimetria e a vida, A",Editora Unesp,,"LEVI, PRIMO","R$ 65,00","R$ 32,50",
"",,,Internacionais,,,,LEVI-PRIMO-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Atencao-psicossocial-
"",Atenção psicossocial além da,,,"COSTA-ROSA, ABILIO",,,
9788539304813,,Editora Unesp,Psicologia e Psicanálise,,"R$ 66,00","R$ 33,00",alem-da-reforma-psiquiatrica-COSTA-ROSA-ABILIO-DA-
"",reforma psiquiátrica,,,DA,,,
"",,,,,,,EDITORA-UNESP/p
"",,,Política e Relações,,,,https://www.livrariaunesp.com.br/Atlantico-Sul-XXI-
9788571399839,Atlântico Sul XXI,Editora Unesp,,"GONCALVES, JONUEL","R$ 58,00","R$ 29,00",
"",,,Internacionais,,,,GONCALVES-JONUEL-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Atlas-da-imigracao-
"",Atlas da imigração internacional de,,,"BASSANEZI, MARIA",,,
9788571398740,,Editora Unesp,Geografia,,"R$ 180,00","R$ 90,00",internacional-de-Sao-Paulo-1850-1950-BASSANEZI-MARIA-
"",São Paulo - 1850-1950,,,SILVIA C. BEOZZO,,,
"",,,,,,,SILVIA-C-BEOZZO-EDITORA-UNESP/p
"",Atores e poderes na nova ordem,,Política e Relações,,,,https://www.livrariaunesp.com.br/Atores-e-poderes-na-
9788571395749,,Editora Unesp,,"DUPAS, GILBERTO","R$ 62,00","R$ 31,00",
"",global,,Internacionais,,,,nova-ordem-global-DUPAS-GILBERTO-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Autobiografia-BOBBIO-
9788539307098,Autobiografia,Editora Unesp,Biografias,"BOBBIO, NORBERTO","R$ 76,00","R$ 38,00",
"",,,,,,,NORBERTO-EDITORA-UNESP/p
"",,,Política e Relações,"TRAGTENBERG,",,,https://www.livrariaunesp.com.br/Autonomia-operaria-
9788539301720,Autonomia operária,Editora Unesp,,,"R$ 92,00","R$ 46,00",
"",,,Internacionais,MAURICIO,,,TRAGTENBERG-MAURICIO-EDITORA-UNES/p
"",,,,,,,https://www.livrariaunesp.com.br/Autonomia-
"",,,,"CABRAL, EDSON",,,
