EDITORA BRASILIENSE,,,,,
ISBN,COD BARRAS,DESCRIÇÃO,AUTOR,PREÇO 2021,PREÇO USP
9788511000238,9788511000238,O QUE E CRISTIANISMO,IVONE GEBARA,"39,90","19,95"
9788511010367,9788511010367,O QUE E CULTURA POPULAR,ANTONIO AUGUSTO ARANTES,"39,90","19,95"
9788511001396,9788511001396,O QUE E DEFESA DO CONSUMIDOR - 2. ED,MARILENA LAZZARINI,"39,90","19,95"
9788511001075,9788511001075,O QUE E DEFICIENCIA,DEBORA DINIZ,"39,90","19,95"
9788511012194,9788511012194,O QUE E DEMOCRACIA,DENIS L. ROSENFIELD,"39,90","19,95"
9788511012583,9788511012583,O QUE E DEPRESSAO,MARIA LUIZA SILVEIRA TELES,"39,90","19,95"
9788511012118,9788511012118,O QUE E DESIGN,WILTON AZEVEDO,"39,90","19,95"
9788511010237,9788511010237,O QUE E DIALETICA,LEANDRO KONDER,"39,90","19,95"
9788511010626,9788511010626,O QUE E DIREITO,ROBERTO LYRA FILHO,"39,90","19,95"
9788511000788,9788511000788,O QUE E DRAMATURGIA,RENATA PALLOTTINI,"39,90","19,95"
9788511011166,9788511011166,O QUE E ECOLOGIA,ANTONIO LAGO/JOSE AUGUSTO PADUA,"39,90","19,95"
9788511010206,9788511010206,O QUE E EDUCACAO,CARLOS RODRIGUES BRANDAO,"39,90","19,95"
9788511001228,9788511001228,O QUE E EDUCACAO AMBIENTAL 2. ED,MARCOS ANTONIO DOS SANTOS REIGOTA,"39,90","19,95"
9788511001501,9788511001501,O QUE E EDUCACAO FISICA - 2 ED,VITOR MARINHO DE OLIVEIRA,"39,90","19,95"
9788511156249,9788511156249,O QUE E EDUCACAO INCLUSIVA,EMILIO FIGUEIRA,"39,90","19,95"
9788511000948,9788511000948,O QUE E EDUCACAO POPULAR,CARLOS RODRIGUES BRANDAO,"39,90","19,95"
9788511001488,9788511001488,O QUE E EDUCACIONISMO,CRISTOVAM BUARQUE,"39,90","19,95"
9788511182071,9788511182071,O QUE E EROTISMO,LUCIA CASTELO BRANCO,"39,90","19,95"
9788511012767,9788511012767,O QUE E ESPORTE,MANOEL JOSE GOMES TUBINO,"39,90","19,95"
9788511011777,9788511011777,O QUE E ETICA,ALVARO LUIZ MONTENEGRO VALLS,"39,90","19,95"
9788511001457,9788511001457,O QUE E ETICA EM PESQUISA,DIRCE GUILHEM DE MATOS,"39,90","19,95"
9788511011241,9788511011241,O QUE E ETNOCENTRISMO,EVERARDO PEREIRA GUIMARAES ROCHA,"39,90","19,95"
9788511001433,9788511001433,O QUE E EVOLUCAO DO DIREITO,GUSTAVO EMILIO CONTRUCCI,"39,90","19,95"
9788511010619,9788511010619,O QUE E EXISTENCIALISMO,JOAO DA PENHA,"39,90","19,95"
9788511010503,9788511010503,O QUE E FAMILIA - 2. EDICAO,YOLANDA CERQUINHO DA SILVA PRADO,"39,90","19,95"
EDITORA BRASILIENSE,,,,,
ISBN,COD BARRAS,DESCRIÇÃO,AUTOR,PREÇO 2021,PREÇO USP
9788511010374,9788511010374,O QUE E FILOSOFIA,CAIO DA SILVA PRADO JUNIOR,"39,90","19,95"
9788511001211,9788511001211,O QUE E FILOSOFIA CONTEMPORANEA,PAULO GHIRALDELLI JUNIOR,"39,90","19,95"
9788511012453,9788511012453,O QUE E FMI,ALCIDES PEDRO SABBI,"39,90","19,95"
9788511010602,9788511010602,O QUE E FOLCLORE,CARLOS RODRIGUES BRANDAO,"39,90","19,95"
9788511010824,9788511010824,O QUE E FOTOGRAFIA,CLAUDIO ARAUJO KUBRUSLY,"39,90","19,95"
9788511001051,9788511001051,O QUE E GASTRONOMIA,RENATA BRAUNE,"39,90","19,95"
9788511001518,9788511001518,O QUE E GEOGRAFIA - 2. ED,RUY MOREIRA,"39,90","19,95"
9788511000498,9788511000498,O QUE E GRAFFITI,CELSO GITAHY,"39,90","19,95"
9788511001716,9788511001716,O QUE E HIPERMIDIA,SERGIO BAIRON,"39,90","19,95"
9788511010176,9788511010176,O QUE E HISTORIA,VERA HERCILIA FARIA PACHECO BORGES,"39,90","19,95"
9788511012866,9788511012866,O QUE E HISTORIA DA CIENCIA,ANA MARIA ALFONSO GOLDFARB,"39,90","19,95"
9788511011340,9788511011340,O QUE E HOMEOPATIA,FLAVIO DANTAS,"39,90","19,95"
9788511010138,9788511010138,O QUE E IDEOLOGIA 2 ED.,MARILENA DE SOUZA CHAUI,"39,90","19,95"
9788511000269,9788511000269,O QUE E IMAGINARIO,FRANCOIS LAPLANTINE / LIANA TRINDADE,"39,90","19,95"
9788511010084,9788511010084,O QUE E INDUSTRIA CULTURAL,JOSE TEIXEIRA COELHO NETTO,"39,90","19,95"
9788511010152,9788511010152,O QUE E JORNALISMO,CLOVIS ROSSI,"39,90","19,95"
9788511012088,9788511012088,O QUE E JORNALISMO SINDICAL,VITO GIANOTTI,"39,90","19,95"
9788511011722,9788511011722,O QUE E LAZER,LUIZ O. LIMA CAMARGO,"39,90","19,95"
9788511010749,9788511010749,O QUE E LEITURA,MARIA HELENA SOUSA MARTINS,"39,90","19,95"
