TÍTULO,AUTOR,,PREÇO DE CAPA,PREÇO COM,
"",,GÊNERO,,DESCONTO,
A CANÇÃO DO LIMÃO,"Vidal Gomes, Brod",MÚSICA,"54,90",,
"",Junior & Sampaio de,,,,
"",Medeiros,,,,
"",,,,,"27,45"
CANTO ENFORCADO  EM VENTO,"Rodrigo TadeuGonçalves",POESIA,"39,90","19,95"
CATARSE DE UM SÍSIFO FRUSTRADO,Max Diógenes,ROMANCE,"44,70","22,35"
CAVALOS SELVAGENS,Silas Corrêa Leite,ROMANCE,"74,70","37,35"
Cem Novidades: Dissonnettos Anthologicos,Glauco Mattoso,POESIA,"39,90","19,95"
Cemitério da Filosofia,Ademir Demarchi,POESIA,"39,90","19,95"
Claudio Guerra: Matar e Queimar – Denise Assis,Denise Assis,"CRONICAS/POLITICA","49,90","24,95"
COLISEU TROPICAL,"Viegas Fernandesda Costa",,,
COM OS OSSOS ABERTOS,Pedro Carrano,POESIA,"44,70","22,35"
Comunicação Política,"Leonardo Stoppa eSálvio Nienkötter","POLITICA/JORNALISMO","49,90","24,95"
CONTADOR  DE ESTRELAS,"Marcos AurélioCeccon",INFANTIL,"39,70","19,85"
Contínuo e Contingência I,"Vivianne de CastilhoMoreira",FILOSOFIA,"84,90","42,45"
Contos da Quarentena Vol. I,vários autores,CONTOS,"49,90","24,95"
Contos da Quarentena Vol. II,vários autores,CONTOS,"49,90","24,95"
Contos da Quarentena Vol. III,vários autores,CONTOS,"49,90","24,95"
Cursivo Menor,António Vera,POESIA,"44,90","22,45"
Debaixo das Rodas de Um Automóvel,Rogério Skylab,POESIA,"44,90","22,45"
DESCARTATAU,William Teca,"CRITICALITERARIA","39,70","19,85"
DESENCANTO EM TREVAS,Victor Moura,POESIA,"39,70","19,85"
Deslembrar,Vinícius Lara,POESIA,"39,90","19,95"
"DIA EM QUE O MORRO NÃO DESCER, O","André Constantine eDafne Ashton VitalBrazil","POLITICA/JORNALISMO","49,70","24,85"
DIÁRIO DE GIBI,Adriel Pereira,INFANTIL,"44,90","22,45"
DIVINDADES SOLITÁRIAS,Andreas Chamorro,CONTOS,"49,70","24,85"
DOIS,Vander Vieira,POESIA,"39,70","19,85"
Duas Vezes Doce e Uma Amarga,Josiane Orvatich,POESIA,"39,90","19,95"
ECOS NO CORAÇÃO DA TERRA,Rafael Azevedo,ROMANCE,"59,70","29,85"
ENCANTORIA,Martina Ahlert,BIOGRAFIA,"59,90","29,95"
ENGENHARIA EM CHAMAS,"José Manoel FerreiraGonçalves",,,
Enquanto Você Crescia,Célia Tamanini,BIOGRAFIA,"44,70","22,35"
ENTRE A FERIDA E A CICATRIZ,Frank Engelbert,POESIA,"44,70","22,35"
ENTRE A PALMA E O CRÂNIO,João Simino,POESIA,"39,90","19,95"
ENTREGA DO SISTEMA ELÉTRICO,Leonardo Stoppa,"POLITICA/JORNALISMO","49,70","24,85"
ENTREVAMENTO,Antônio Mariano,ROMANCE,"49,70","24,85"
Entrevista,Cristina Serra,POESIA,"49,90","24,95"
Escalafobético,"Marcos H.Guimarães",ROMANCE,"69,90","34,95"
ESTREITO DE BERLIM,Maurício Palma,POESIA,"39,90","19,95"
Estudando o Livro Evolução em Dois Mundos,Paulo Bearzoti,,"59,90","29,95"
ET O Sequestro,Nicolau Ball,INFANTIL,"39,90","19,95"
Falando de Política Sem Politiquês – Carlito Neto,Carlito Neto,"POLITICA/JORNALISMO","34,90","17,45"
FÉLIX CULPA,Victor Castanho,POESIA,"39,70","19,85"
Fibonacci Blues,Edson Cruz,,"39,70","19,85"
FILÓSOFAS,"Org. Juliana Aggio,Silvia Faustino,Carolina Araújo eLaurenio Sombra",FILOSOFIA,"1 29,70","64,85"
FILOSOFIA URGENTE,"Diego AlmeidaMonsalvo",FILOSOFIA,"39,70","19,85"
FLORILÉGIO,Klaus,POESIA,"39,70","19,85"
HISTÓRIAS BREVES,Maico,CONTOS,"39,70","19,85"
Ietitoh O Grande: Um Romance Híbrido,Luca Barbabianca,,"39,90","19,95"
Ignóbil,Regina Ribeiro,ROMANCE,"44,70","22,35"
ILUSÃO,"Marco Aurélio deSouza",POESIA,"39,70","19,85"
INDRISOS & SONETOS,Luca Barbabianca,POESIA,"34,90","17,45"
LAVA JATO- UMA CONSPIRAÇÃO CONTRA O BRASIL,Milton Alves,,,
Leite de Pedra,Ewaldo Schleder,POESIA,"39,90","19,95"
LIGAÇÕES QUE RASGAM,Raul K. Souza,POESIA,"39,70","19,85"
LIMA BARRETO,Erick Araujo,"CRITICALITERARIA","39,70","19,85"
Lulismo Selvagem,Rogério Skylab,"POLITICA/JORNALISMO","49,90","24,95"
LUZES DE OUTONO,"Maurício ArrudaMendonça",POESIA,"44,70","22,35"
MÁ-FÉ,"Tarquíniod’Ambrósio",ROMANCE,"44,70","22,35"
MAIS DO QUE ONTEM E MENOS DO QUE AMANHÃ,"Giovana PissolatoFernandes",ROMANCE,"54,70","27,35"
"MAMÃE, PAPAI FEZ ARMINHAS COM A MÃO",Venes Caitano,INFANTIL,"49,70","24,85"
Marabô Obatalá,Claudio Daniel,POESIA,"39,90","19,95"
Matei Minha Mãe,Anderson Felix,ROMANCE,"44,90","22,45"
MEMÓRIAS DE UM BRASILEIRO,Bemvindo Sequeira,BIOGRAFIA,"49,90","24,95"
Memórias do Estábulo – Lucas Lazzaretti,Lucas Lazzaretti,POESIA,"39,90","19,95"
METÁFORAS ÍNTIMAS,"João da CruzGonçalves Neto",POESIA,"49,70","24,85"
MG 42,Isaac Castro,ROMANCE,"39,70","19,85"
Microcosmos,Guilherme Giublin,,"34,90","17,45"
Minha Especialidade é Matar,Henry Bugalho,"POLITICA/JORNALISMO","44,90","22,45"
MINHA VIDA COM PARKINSON,Almira Arruda,BIOGRAFIA,"44,70","22,35"
MOJUBÁ,Claudio Daniel,ROMANCE,"49,70","24,85"
Moro O Herói Construído Pela Mídia – Tarcis Prado Jr.,Tarcis Prado Jr.,"JORNALISMO/BIOGRAFIA","44,90","22,45"
Movimentos Portáteis – Reynaldo Damazio,Reynaldo Damazio,POESIA,"39,90","19,95"
NA TREVA DA PROVINCIA,Emiliano Perneta,POESIA,"39,70","19,85"
Nascer é Um Incêndio ao Contrário,Marcelo Ariel,,,
NAVIOS CARGUEIROS,"Marcos de AndradeFilho",POESIA,"39,70","19,85"
Ninguém é Inocente em São Paulo,Ferréz,CONTOS,"39,90","19,95"
Nirvana,Marcelo Nunes,ROMANCE,"79,70","39,85"
Noites Em Claro,Eduardo Liguori,POESIA,"39,90","19,95"
NOTURNO,Paulo Mielmiczuk,POESIA,"39,70","19,85"
"NOVA MÁQUINA DO TEMPO, A","André TeixeiraJacobina","FICÇÃOCIENTÍFICA","54,70","27,35"
O CAPITALISMO NO BRASIL,"João Antonio dePaula","POLITICA/JORNALISMO","54,70","27,35"
O CASO VEJA,Luís Nassif,Jornalismo,"74,70","37,35"
O Encantador de Mulheres,Rogério Ramos,ROMANCE,"1 29,90","64,95"
O IDIOMA DAS ALMAS ERRANTES,,CONTOS,"39,70","19,85"
O Mapa da Mina,"André GuilhermeDelgado Vieira",JORNALISMO,"49,70","24,85"
O Mundo nos Cabia,Alan Minas,ROMANCE,"59,70","29,85"
O Rei dos Judeus,Henry Bugalho,ROMANCE,"54,90","27,45"
O Soneto e Outras Formas Poéticas,"Jayme FerreiraBueno",POESIA,"44,90","22,45"
O TREM REINICIADO,José Maurício Burle,POESIA,"39,70","19,85"
"O Vento Continua, Todavia",Org. Andreev Veiga,POESIA,"39,90","19,95"
OBSTINAÇÃO,Salvatini da Silva,ROMANCE,"69,70","34,85"
Ode Mundana,"Luiz FelipeLeprevost",POESIA,"39,90","19,95"
OS BONS ANOS DO JUIZ BANDELO,Acantos Garcia,POESIA,"39,70","19,85"
Pandemônio,Edson Cruz,POESIA,"39,90","19,95"
Pantaneira: Pantanal e Rio Paraguai,"Ewaldo Schleder eJulio Covello",POESIA,"44,90","22,45"
PARA UM TÚMULO DE ANATOLE,"Stéphane Mallarmé– Trad. GuilhermeGontijo Flores",,,
PATOLOGIAS DA MODERNIDADE,Jessé Souza,POESIA,"44,70","22,35"
PEDRA PLACEBO,Marcelo Wilinski,POESIA,"39,70","19,85"
Pequeno Tratado do Amor e da Natureza – Roberto Nicolato,Roberto Nicolato,POESIA,"39,90","19,95"
PERCURSOS AFETIVOS,Cadu Cinelli,CONTOS,"44,90","22,45"
"Poesia Em Série – Vida, História, Mito","Jayme FerreiraBueno",POESIA,"44,90","22,45"
"Poética da Mímesis e a Composição dos Diálogos Platônicos, A","Nelson de AguiarMenezes Neto",FILOSOFIA,"69,70","34,85"
Prisão Dourada,Ana Lavrador,POESIA,"44,90","22,45"
Procurando Pessoa,"José Alfredo SantosAbrão",ROMANCE,"39,90","19,95"
QUEM COLOCOU A TERRA EM MOVIMENTO?,"Eduardo SarquisSoares",ASTRONOMIA,"69,70","34,85"
QUINAS E FLORES-DE-LIS,"Amadeu LopesSabino",POESIA,"39,70","19,85"
Racismo e Relações Sociais Brasileiras – Danilo Espindola Catalano,"Danilo EspindolaCatalano",POESIA,"39,90","19,95"
RASCUNHO,Mirian S. Cavalcanti,POESIA,"39,70","19,85"
RATOS NO JARDIM,Gustavo Nishida,CONTOS,"39,70","19,85"
RIOBALDO MACABÉA,Sandra Amora,POESIA,"39,70","19,85"
ROUGE,Luís Filipe Sarmento,CRÔNICAS,"74,70","37,35"
Sem Pagar Passagem,Reinoldo Atem,POESIA,"79,90","39,95"
SIAMESES,"Antonio GeraldoFigueiredo Ferreira",ROMANCE,"2 59,70","129,85"
Solfejo de Cores,Leonardo Bachiega,POESIA,"39,90","19,95"
