Hemus,,,
Título,Autor,Preço de Capa,Preço com Desconto
QUINHENTOS MILHOES DA BEGUM (OS),JULIO VERNE,"52,00","26,00"
QUIROLOGIA - O DESTINO REVELADO P/ MAOS,CHEIRO (LORD KITCHENER),"62,40","31,20"
RAIO VERDE (O),JULIO VERNE,"57,60","28,80"
RECEITAS NATURAIS,MARIA CRISTINA LISBOA PRADO,"67,20","33,60"
RECONSTRUCAO DE ATLANTIDA (A),J ALVAREZ LOPES,"55,20","27,60"
Refrigeração Comercial. Climatização industrial,José de Castro Silva,"118,80","59,40"
Refrigeração e condicionamento de ar,US navy,"78,00","39,00"
RELAÇÕES AMOROSAS,Charlie Dumartin,"58,00","29,00"
REMBRANDT-A Vida Maravilhosa,Jan Mens,"106,00","53,00"
Remediação dos lixões municipais,Luiz Mario Queiroz Lima,"122,40","61,20"
Resistência ciência dos materiais,Luis Pareto,"87,60","43,80"
Riqueza das nações - ed comentada,adam smith,"47,88","23,94"
Riqueza das nações - edição revista 2007,Adam Smith,"190,80","95,40"
ROYAL MARINE COMMANDO 7,S COOK / T TOMS,"32,00","16,00"
Salas Limpas,Raul Perragulo Torreira,"100,80","50,40"
Segredos de um ultramaratonista,Valmir Nunes,"93,60","46,80"
SEIS GRAUS DE SEPARACAO*,DUNCAN J WATTS,"93,60","46,80"
SENHOR DO MUNDO (O),JULIO VERNE,"57,60","28,80"
Serralheria artística,Andre Capdefer,"169,20","84,60"
SEXTO SENTIDO,MASSIMO INARDI,"74,40","37,20"
Símbolos e Mitos do Antigo Egito,R. T. Rundle Clark,"121,20","60,60"
Sincros Servomecanismos. Fundamentos de Giros,US NAVY,"87,60","43,80"
SIR GAWAIN CAVALEIRO DA TAVOLA REDONDA,ANONIMO,"50,40","25,20"
Sistema Lean de Desenvolvimento de Produto e Processos,Allen C. Ward,"177,60","88,80"
STONEHENGE,FERNAND NIEL,"87,60","43,80"
TACAO DE FERRO,JACK LONDON,"82,80","41,40"
Tao Te King,Lao Tse,"93,60","46,80"
Técnicas de análise microestrutural,F. Ambrozio Fi e Angelo F. Padilha,"94,80","47,40"
