ISBN,Título,Autor,Valor Capa,Valor
"",,,,com desconto
9788565888769,HISTORIA E CONHECIMENTO SUAS CONEXOES E PERSPECTIVAS,"COSTA, SERGIO PAULO MUNIZ","R$      30,00","R$         15,00"
8573351314,HISTORIA NATURAL E CONSERVACAO DA ILHA DO MEL,"MARQUES, MARCIA","R$      38,00","R$         19,00"
9788584801763,"HISTORIA TODA SUA, UMA: TRAJETORIAS DE HISTORIADORAS BRASILEIRAS (1934 - 1990)","LIBLIK, CARMEN SILVA DA FONSECA KUMM","R$      50,00","R$         25,00"
9788565888639,"HISTORIA, CIENCIA, SAUDE E EDUCACAO","CINTRA, ERICA PIOVAM DE ULHOA","R$      45,00","R$         22,50"
857335111X,"HISTORIA, MEMORIA E ENSINO DE ESPANHOL","PICANÇO, DEISE CRISTINA DE LIM","R$      33,00","R$         16,50"
9788573352078,HISTORIAS DE CRIANCAS  DESAPARECIDAS,"MARCHI, JERUSA SERAFIM WEISS","R$      25,00","R$         12,50"
8573351268,IDENTIDADES E CRISES SOCIAIS NA CONTEMPORANEIDADE,"NETO, JAMIL ZUGUEIB","R$      38,00","R$         19,00"
9786587448015,IMAGINACAO COMO PRESENCA: O CORPO E SEUS AFETOS NA EXPERIENCIA LITERARIA,"DINIZ, LIGIA GONCALVES","R$      60,00","R$         30,00"
9788573352412,IMPACTOS SOCIOAMBIENTAIS URBANOS,"MENDONCA, FRANCISCO","R$      41,00","R$         20,50"
9788565888448,INCLUSAO RACIAL E SOCIAL,"FERRARINI, NORMA DA LUZ","R$      30,00","R$         15,00"
9788565888332,"INDIVIDUO INQUIETANTE SOB O SIGNO DE LOPE DE AGUIRE, O","NEIRA, HERNÁN","R$      32,00","R$         16,00"
8524906359,"INFANCIA, ESCOLA E MODERNIDADE","GHIRALDELLI JR., PAULO","R$      28,00","R$         14,00"
9788565888998,INSTRUMENTOS E INDICADORES PARA AVALIAR A CRECHE,"FRITOLI, LUIZ ERNANI","R$      35,00","R$         17,50"
9788573352221,INTELECTUAIS PARANAENSES E AS CONCEPCOES DE UNIVERSIDADE(1892-1950),"CAMPOS,NÉVIO DE","R$      35,00","R$         17,50"
9788573351873,"INTELECTUAIS, EDUCACAO E MODERNIDADE NO PARANA(1886-1964)",VIEIRA EDUARDO CARLOS,"R$      33,00","R$         16,50"
9788584800209,"INTELECTUAIS, MODERNIDADE E FORMACAO DE PROFESSORES NO PARANA","VIEIRA, CARLOS EDUARDO","R$      30,00","R$         15,00"
9788584800742,INTERVENCIONISMO ESTATAL E IDEOLOGIA DESENVOLVIMENTISTA: ESTUDOS SOBRE A,"AOUDGEUPSATRO, MARIA HELENA OLIVA","R$      35,00","R$         17,50"
8573351292,INTRIGA E AMOR - UMA TRAGEDIA BURGUESA EM CINCO ATOS,"SCHILLER, FRIEDRICH","R$      33,50","R$         16,75"
9788573351125,INTRODUCAO A FILOSOFIA DA CIENCIA,"ARAUJO, INES LACERDA","R$      38,00","R$         19,00"
9788573350296,INTRODUCAO A GEODESIA FISICA,"GEMAEL, CAMIL","R$      60,00","R$         30,00"
9788565888356,"INTRODUCAO A METAFISICA DA NATUREZA, UMA","GHINS, MICHEL","R$      35,00","R$         17,50"
8573350199,INTRODUCAO AO MANEJO E ECONOMIA DE FLORESTAS,"HOSOKAWA, ROBERTO TUYOSHI","R$      28,00","R$         14,00"
8573350202,ITINERARIO DE UMA CRISE: A MODERNIDADE,AUTOR,"R$      24,00","R$         12,00"
