Título,Autor,Preço de capa,Preço com desconto
"ERA DOS FESTIVAIS, A","Mello, Zuza Homem de","R$94,00","R$47,00"
ESCRITOS CORSARIOS,"Pasolini, Pier Paolo","R$68,00","R$34,00"
ESCRITOS DA CASA MORTA,"Dostoiévski, Fiódor","R$79,00","R$39,50"
ESCRITOS SOBRE MITO E LINGUAGEM,"Benjamin, Walter","R$51,00","R$25,50"
ESCRITOS URBANOS,"Kowarick, Lúcio","R$45,00","R$22,50"
ESCUTE AS FERAS,"Martin, Nastassja","R$46,00","R$23,00"
"ESPACO CRITICO, O","Virilio, Paul","R$47,00","R$23,50"
"ESPANHA DE JOAO CABRAL E MURILO MENDES, A","Souza de Carvalho, Ricardo","R$59,00","R$29,50"
ESPINOSA E O PROBLEMA DA EXPRESSAO,GT Deleuze — 12,"R$76,00","R$38,00"
ESSA MULHER E OUTROS CONTOS,"Walsh, Rodolfo","R$59,00","R$29,50"
ESTA VIDA: POEMAS ESCOLHIDOS,"Carver, Raymond","R$54,00","R$27,00"
"ESTRADA QUE NAO LEVAVA A LUGAR ALGUM, A","Rodari, Gianni","R$39,00","R$19,50"
"ESTRANGEIROS, OS","Leal, Marconi","R$39,00","R$19,50"
"ESTRANHO NO CORREDOR, O","Lopes, Chico","R$42,00","R$21,00"
"ESTRELAS, AS","Weinberger, Eliot","R$43,00","R$21,50"
ESTRUTURA URBANA E ECOLOGIA HUMANA,"Eufrasio, Mário A.","R$62,00","R$31,00"
"ETERNO MARIDO, O","Dostoiévski, Fiódor","R$54,00","R$27,00"
EU TE DAREI O CEU,"Leite, Ivana Arruda","R$42,00","R$21,00"
EXERCICIOS DE LEITURA,"Souza, Gilda de Mello e","R$68,00","R$34,00"
"EXPOSICAO DAS ROSAS, A","Örkény, István","R$54,00","R$27,00"
FABULAS POR TELEFONE,"Rodari, Gianni","R$49,00","R$24,50"
FABULAS SEGUIDA DO ROMANCE DE ESOPO,Esopo,"R$61,00","R$30,50"
FANTINA: CENAS DA ESCRAVIDÃO,"Badaró, F. C. Duarte","R$49,00","R$24,50"
FAUSTO I,"Goethe, Johann Wolfgang von","R$98,00","R$49,00"
FAUSTO I (EDIÇÃO DE BOLSO),"Goethe, Johann Wolfgang von","R$52,00","R$26,00"
FAUSTO II,"Goethe, Johann Wolfgang von","R$129,00","R$64,50"
FAUSTO II (EDIÇÃO DE BOLSO),"Goethe, Johann Wolfgang von","R$56,00","R$28,00"
FEDRO,Platão,"R$59,00","R$29,50"
FELICIDADE CONJUGAL,"Tolstói, Lev","R$46,00","R$23,00"
FELIZES QUASE SEMPRE,"Prata, Antônio","R$39,00","R$19,50"
FILOCTETES,Sófocles,"R$54,00","R$27,00"
