"",,,,,$ C/ 50%
TÍTULO,,AUTOR,SELO,$ CAPA,
"",,,,,DESCONTO
CARACTEROLOGIA PÓS-REICHIANA,"NAVARRO, FEDERICO",SUMMUS,"42,80","21,40"
"CARMA DO AGORA, O","SCHULMAN, MARTIN",ÁGORA,"42,80","21,40"
CARNE DE SOJA,"OLKOVSKI, IRENE",MG EDITORES,"42,80","21,40"
CARTAS DE UM SOBREVIVENTE,"SIMONTON, O CARL/HENSON,M REID",SUMMUS,"67,90","33,95"
"CARTILHA DA NOVA MÃE, A","GAIARSA, JOSÉ ANGELO",ÁGORA,"42,80","21,40"
"CASAL EM CRISE, O",ANDOLFI/ANGELO/SACCU,SUMMUS,"71,60","35,80"
CATÁLOGOS,DIVERSOS,ÁGORA,"0,00","0,00"
CENAS FAMILIARES,"REIS, JOSÉ ROBERTO TOZONI",ÁGORA,"51,00","25,50"
"CENAS TEMIDAS DO PSICOTERAPEUTA INICIANTE, AS","PEREIRA, RUBENS ANTONIO",ÁGORA,"51,00","25,50"
CENTRO DE CULTURA E ARTE NEGRA - CECAN,"SILVA, JOANA MARIA FERREIRA DA",SELO NEGRO,"31,90","15,95"
"CEREBRO ESQUERDO, CEREBRO DIREITO","SPRINGER, SALLY /DEUTSCH GEORG",SUMMUS,"115,60","57,80"
CÉU DA BOCA,"ELEK, EDITH (ORG)",ÁGORA,"48,20","24,10"
CH'AN TAO - ESSENCIA DA MEDITACAO,JIA/ LEITE/ TAKEDA,PLEXUS,"65,10","32,55"
CICATRIZES E TATUAGENS,"ALFACE, FELIPE DE SOUZA",EDIÇÕES GLS,"48,20","24,10"
"CICLO DO CONTATO, O - 8a EDIÇÃO","RIBEIRO, JORGE PONCIANO",SUMMUS,"68,80","34,40"
CIDADANIA,"RESENDE, ENIO J",SUMMUS,"42,80","21,40"
"CIDADANIA, SURDEZ E LINGUAGEM","SILVA,I./GESUELI,Z./KAUCHAKJE",PLEXUS,"81,80","40,90"
CIDADAO CORPO,"BERTAZZO, IVALDO",SUMMUS,"72,50","36,25"
CIÊNCIA E JORNALISMO,"MEDINA, CREMILDA",SUMMUS,"48,20","24,10"
CIGARRO: UM ADEUS POSSÍVEL - ED. REVISTA,"GIKOVATE, FLÁVIO",MG EDITORES,"68,80","34,40"
"CINCO C'S DA CINEMATOGRAFIA, OS",JOSEPH V. MASCELLI,SUMMUS,"133,00","66,50"
"CINCO ELEMENTOS NA ALIMENTAÇÃO EQUILIBRADA, OS","FAHRNOW, I.M./FAHRNOW, J.",ÁGORA,"133,00","66,50"
CINE ARCO-ÍRIS,"LEKITSCH, STEVAN FRANCIS",EDIÇÕES GLS,"94,50","47,25"
CINEMA BRASILEIRO A PARTIR DA RETOMADA,"IKEDA, MARCELO",SUMMUS,"75,70","37,85"
CINEMA BRASILEIRO NO SÉCULO 21,"BALLERINI, FRANTHIESCO",SUMMUS,"101,10","50,55"
CINEMA COMO PRATICA SOCIAL,"TURNER, GRAEME",SUMMUS,"62,80","31,40"
CÍRCULOS DE MULHERES,"DEL PICCHIA, BEATRIZ; BALIEIRO, CRISTINA",ÁGORA,"96,70","48,35"
CIRURGIA BARIÁTRICA E PARA O DIABETES,"GIANSANTE, MARCOS",MG EDITORES,"53,10","26,55"
CIÚME - O LADO AMARGO DO AMOR,"FERREIRA-SANTOS, EDUARDO",ÁGORA,"42,80","21,40"
"CLÍNICA FONOAUDIOLÓGICA E A PSICOLOGIA CLÍNICA, A","ANCONA-LOPES, LILIA",PLEXUS,"59,70","29,85"
"CLÍNICA FONOAUDIOLÓGICA EM QUESTÃO, A","PASSOS, MARIA CONSUÊLO(ORG)",PLEXUS,"59,70","29,85"
"CLÍNICA GESTÁLTICA COM ADOLESCENTES, A","ZANELLA, ROSANA (ORG.)",SUMMUS,"64,20","32,10"
"CLÍNICA GESTÁLTICA COM CRIANÇAS, A","ANTONY, SHEILA (ORG.)",SUMMUS,"68,80","34,40"
"CLÍNICA, A RELAÇÃO PSICOTERAPÊUTICA E O MANEJO EM GESTALT-TERAPIA,A","FRAZÃO, LILIAN; FUKUMITSU, KARINA (ORGS.)",SUMMUS,"64,20","32,10"
CLÍNICAS GESTÁLTICAS,"GRANZOTTO, MARCOS; GRANZOTTO, ROSANE L.",SUMMUS,"98,00","49,00"
CODEPENDÊNCIA:O TRANSTORNO E A INTERVENÇÃO EM REDE,"ZAMPIERI, MARIA APARECIDA",ÁGORA,"94,50","47,25"
COLEÇÃO 4X COMPETÊNCIA,"RESENDE, ENIO J.",SUMMUS,"153,90","76,95"
COM A VIDA DE NOVO,SIMONTON/CREIGHTON,SUMMUS,"78,90","39,45"
COM CREDIBILIDADE NÃO SE BRINCA!,"LUCAS, LUCIANE (ORG)",SUMMUS,"76,00","38,00"
COMIDA DE CRIANÇA,"SILVA, CLAUDIA P LOBO E",MG EDITORES,"102,40","51,20"
COMO AGARRAR UM MARIDO - VERSAO GAY,"PRICE, PATRICK",EDIÇÕES GLS,"64,20","32,10"
COMO BRINCAM AS CRIANÇAS SURDAS,"SILVA, DANIELE NUNES HENRIQUE",PLEXUS,"48,20","24,10"
COMO EDUCAR SEM USAR A VIOLÊNCIA,"LORCH, DORA",SUMMUS,"59,70","29,85"
COMO EU COMO?,"GONSALVES, PAULO EIRÓ",MG EDITORES,"51,00","25,50"
COMO FALAR NO RÁDIO,"CÉSAR, CYRO",SUMMUS,"96,50","48,25"
COMO FALAR PARA O ALUNO APRENDER,"FABER, ADELE/MAZLISH ELAINE",SUMMUS,"81,80","40,90"
"COMO FALAR PARA SEU FILHO OUVIR E COMO OUVIR PARA SEU FILHOFALAR","FABER, A./MAZLISH, E.",SUMMUS,"99,30","49,65"
COMO FAZER DOCUMENTÁRIOS,"LUCENA, LUIZ CARLOS PEREIRA",SUMMUS,"48,20","24,10"
COMO NASCEM OS PAIS,"KAUFMANN, RENATO",MESCLA,"65,10","32,55"
COMPETÊNCIA PEDAGÓGICA DO PROFESSOR UNIVERSITÁRIO - ED. REVISTA,"MASETTO, MARCOS TARCISO",SUMMUS,"68,80","34,40"
"COMPETÊNCIA, SUCESSO, FELICIDADE","RESENDE, ENIO J.",SUMMUS,"47,10","23,55"
COMPREENDENDO AS DOENÇAS,"BALL, JOHN",ÁGORA,"96,50","48,25"
COMPREENDENDO O SEU CHA,"RESENDE, ENIO J.",SUMMUS,"58,00","29,00"
"COMPREENSÃO DA PESSOA, A","CHAVES, JOSÉ",ÁGORA,"64,20","32,10"
COMUNICAÇÃO DE MASSA SEM MASSA,"CAPARELLI, SÉRGIO",SUMMUS,"48,20","24,10"
COMUNICAÇÃO DIRIGIDA ESCRITA NA EMPRESA- ED. AMPLI,"CESCA, CLEUZA GIMENES",SUMMUS,"94,50","47,25"
COMUNICAÇÃO E POLÍTICA,"DE MATOS, HELOIZA H; MARQUES, CRISTINA S",SUMMUS,"120,90","60,45"
"COMUNICAÇÃO MÉDICO-PACIENTE NO TRATAMENTO ONCOLÓGICO, A","CAPONERO, RICARDO",MG EDITORES,"64,20","32,10"
"COMUNICAÇÃO NÃO-VERBAL, A","DAVIS, FLORA",SUMMUS,"67,90","33,95"
COMUNICAÇÃO NÃO-VIOLENTA - 4a EDIÇÃO,"ROSENBERG, MARSHAL B.",ÁGORA,"94,50","47,25"
COMUNICAÇÃO NAS ORGANIZAÇÕES,"TORQUATO, GAUDÊNCIO",SUMMUS,"93,10","46,55"
COMUNICAÇÃO ORGANIZACIONAL ESTRATÉGICA,"KUNSCH, MARGARIDA MARIA KROHLING",SUMMUS,"120,90","60,45"
CONCEITO DE MUNDO E DE PESSOA EM GESTALT-TERAPIA,"RIBEIRO, JORGE PONCIANO",SUMMUS,"48,20","24,10"
"CONFINAMENTO CULTURAL, INFÂNCIA/LEITURA","PERROTTI, EDMIR",SUMMUS,"42,80","21,40"
CONHECENDO MELHOR A DOENCA DE PARKINSON,"LIMONJI, JOAO CARLOS PAPATERRA",PLEXUS,"59,70","29,85"
CONSCIÊNCIA PELO MOVIMENTO,"FELDENKRAIS, MOSHE",SUMMUS,"74,50","37,25"
"CONSTRUÇÃO DE SENTIDOS NA ESCR.DO ALUNO SURDO, A","SILVA, MARILIA DA P. MARINHO",PLEXUS,"42,80","21,40"
"CONSTRUCAO DO HOMEM SEGUNDO PIAGET, A","LIMA, LAURO DE OLIVEIRA",SUMMUS,"53,10","26,55"
"CONSTRUÇÃO DO PSICOTERAPEUTA, A","CARDELLA, BEATRIZ H. PARANHOS",SUMMUS,"78,90","39,45"
CONSUMIDOR X PROPAGANDA - ED. REVISTA E ATUALIZADA,"GIACOMINI FILHO, GINO",SUMMUS,"84,60","42,30"
