TABELA DE PREÇO GIRASSOL,,,
ISBN,DESCRIÇÃO,PREÇO,Desc 50%
9788539416738,TM - CLASSICOS PARA SEMPRE - AS 12 PRINCESAS DANCARINAS,"R$ 12,90","R$ 6,45"
9788539416745,TM - CLASSICOS PARA SEMPRE - CACHINHOS DOURADOS,"R$ 12,90","R$ 6,45"
9788539416752,TM - CLASSICOS PARA SEMPRE - GULLIVER,"R$ 12,90","R$ 6,45"
9788539416769,TM - CLASSICOS PARA SEMPRE - JOAO E O PE DE FEIJAO,"R$ 12,90","R$ 6,45"
9788539416776,TM - CLASSICOS PARA SEMPRE - O FLAUTISTA DE HAMELIN,"R$ 12,90","R$ 6,45"
9788539416783,TM - CLASSICOS PARA SEMPRE - O MAGICO DE OZ,"R$ 12,90","R$ 6,45"
9788539416790,TM - CLASSICOS PARA SEMPRE - O SAPATEIRO E OS DUENDES,"R$ 12,90","R$ 6,45"
9788539416806,TM - CLASSICOS PARA SEMPRE - OS 3 PORQUINHOS,"R$ 12,90","R$ 6,45"
9788539416813,TM - CLASSICOS PARA SEMPRE - PINOQUIO,"R$ 12,90","R$ 6,45"
9788539416820,TM - CLASSICOS PARA SEMPRE - ROMEU E JULIETA,"R$ 12,90","R$ 6,45"
9788539424009,TM - COMO? ONDE? POR QUE?,"R$ 69,90","R$ 34,95"
9788539419081,TM - CONTOS DA CAROCHINHA,"R$ 69,90","R$ 34,95"
9788539424078,TM - CONTOS DE ANDERSEN - POP,"R$ 39,90","R$ 19,95"
9788539421985,TM - DO FUNDO DO CORACAO,"R$ 109,90","R$ 54,95"
9788539414284,TM - FÁBULAS ILUSTRADAS - A ASSEMBLÉIA DOS RATOS,"R$ 12,90","R$ 6,45"
9788539414253,TM - FÁBULAS ILUSTRADAS - A CEGONHA E A RAPOSA,"R$ 12,90","R$ 6,45"
9788539414291,TM - FÁBULAS ILUSTRADAS - A CIGARRA E A FORMIGA,"R$ 12,90","R$ 6,45"
9788539414307,TM - FÁBULAS ILUSTRADAS - A GALINHA DOS OVOS DE OURO,"R$ 12,90","R$ 6,45"
9788539414239,TM - FÁBULAS ILUSTRADAS - A MENINA DO LEITE,"R$ 12,90","R$ 6,45"
9788539414314,TM - FÁBULAS ILUSTRADAS - A RAPOSA E AS UVAS,"R$ 12,90","R$ 6,45"
9788539414369,TM - FÁBULAS ILUSTRADAS - A RAPOSA E O CORVO,"R$ 12,90","R$ 6,45"
9788539414277,TM - FÁBULAS ILUSTRADAS - A TARTARUGA E A LEBRE,"R$ 12,90","R$ 6,45"
9788539414246,TM - FÁBULAS ILUSTRADAS - O AVARENTO,"R$ 12,90","R$ 6,45"
9788539414321,TM - FÁBULAS ILUSTRADAS - O LEÃO E O RATINHO,"R$ 12,90","R$ 6,45"
9788539414260,"TM - FÁBULAS ILUSTRADAS - O MOLEIRO, O MENINO E O BURRO","R$ 12,90","R$ 6,45"
9788539414338,TM - FÁBULAS ILUSTRADAS - O PASTORZINHO MENTIROSO,"R$ 12,90","R$ 6,45"
9788539414345,TM - FÁBULAS ILUSTRADAS - O RATO DA CIDADE E O RATO DO CAMPO,"R$ 12,90","R$ 6,45"
9788539414352,TM - FÁBULAS ILUSTRADAS - OS DOIS AMIGOS E O URSO,"R$ 12,90","R$ 6,45"
9788539414796,TM - FABULAS INESQUECIVEIS,"R$ 69,90","R$ 34,95"
9788539424085,TM - FABULAS INESQUECIVEIS (BROCHURA),"R$ 39,90","R$ 19,95"
9788539417056,TM - FANTASIA - A PASTORINHA (NOVO),"R$ 7,90","R$ 3,95"
9788539417049,TM - FANTASIA - ALADIM (NOVO),"R$ 7,90","R$ 3,95"
9788539417070,TM - FANTASIA - JOÃO E O PE DE FEIJAO (NOVO),"R$ 7,90","R$ 3,95"
9788539417087,TM - FANTASIA - PINOQUIO (NOVO),"R$ 7,90","R$ 3,95"
9788539417094,TM - FANTASIA - REI ARTHUR (NOVO),"R$ 7,90","R$ 3,95"
9788539417100,TM - FANTASIA - ROMEU E JULIETA (NOVO),"R$ 7,90","R$ 3,95"
