Autor,Título,Data de lançamento,Preço R$,Desconto,Preço com desconto,Site
"Castro, Manuela",A praga,06/07/2017,"R$ 39,90",50%,"R$ 19,95",www.troiaeditora.com.br
"Ribeiro Jr., Amaury",A privataria tucana,30/11/2011,"R$ 35,00",50%,"R$ 17,50",www.troiaeditora.com.br
"Orwell, George",A revolução dos bichos,18/01/2021,"R$ 19,90",50%,"R$ 9,95",www.troiaeditora.com.br
"Orwell, George",A revolução dos bichos ‐ Edição de Luxo,18/01/2021,"R$ 69,90",50%,"R$ 34,95",www.troiaeditora.com.br
"Ratner, Vaddey",À sombra da figueira,20/10/2015,"R$ 42,00",50%,"R$ 21,00",www.troiaeditora.com.br
"Sorensen, Jessica",A Tentação de Lila & Ethan,09/03/2015,"R$ 65,00",50%,"R$ 32,50",www.troiaeditora.com.br
"Viveiros, Ricardo",A vila que descobriu o Brasil,05/08/2014,"R$ 62,00",50%,"R$ 31,00",www.troiaeditora.com.br
"Pinheiro, Vinícuis",Abandonado,01/04/2015,"R$ 38,00",50%,"R$ 19,00",www.troiaeditora.com.br
"Lovato, Amilton",Adhemar,04/09/2014,"R$ 58,00",50%,"R$ 29,00",www.troiaeditora.com.br
"Pinelli, Luiz Antonio da Cruz",Agente 114,20/11/2019,"R$ 32,00",50%,"R$ 16,00",www.troiaeditora.com.br
"Ádyla, Maciel",AMIN E OS LIVROS MÁGICOS,13/05/2019,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Halperin, Ian",Angelina & Brad,25/11/2011,"R$ 38,00",50%,"R$ 19,00",www.troiaeditora.com.br
"Ware, Bronnie",Antes de partir,21/11/2017,"R$ 29,90",50%,"R$ 14,95",www.troiaeditora.com.br
"Leal, Hermes",Antes que o sonho acabe,29/10/2014,"R$ 29,90",50%,"R$ 14,95",www.troiaeditora.com.br
"Christe, Padre Aberio",Aprendendo a voar,04/11/2014,"R$ 52,00",50%,"R$ 26,00",www.troiaeditora.com.br
Confúcio,As lições do mestre,18/01/2016,"R$ 59,90",50%,"R$ 29,95",www.troiaeditora.com.br
"George, Margaret",As memórias de Cleópatra,01/11/2000,"R$ 38,00",50%,"R$ 19,00",www.troiaeditora.com.br
"George, Margaret",As Memórias de Cleópatra (vol3),01/01/2001,"R$ 34,00",50%,"R$ 17,00",www.troiaeditora.com.br
"Rozsas, Jeanette",As vidas e as mortes de Frankenstein,03/08/2015,"R$ 42,00",50%,"R$ 21,00",www.troiaeditora.com.br
"Olsen, Julie Andkjaer; Weischer, Maren",Big Bang,24/09/2013,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Borges, Márcio",Cartas da humanidade,28/11/2014,"R$ 59,90",50%,"R$ 29,95",www.troiaeditora.com.br
"Oliver, Vicky",Chefes de M€rd@,10/10/2019,"R$ 34,00",50%,"R$ 17,00",www.troiaeditora.com.br
"Ribeiro, Joyce",Chica da Silva,09/07/2021,"R$ 29,90",50%,"R$ 14,95",www.troiaeditora.com.br
