Título,Autores,Preço,Preço com 50%
Compósitos estruturais,"Levy Neto, Flamínio (Autor), Pardini,","R$120,00","R$60,00"
Compreender o trabalho para transformá-lo,"Guérin, F. (Autor), Kerguelen, A.","R$87,00","R$43,50"
Concreto armado - Eu te amo - para arquitetos,"Botelho, Manoel Henrique Campos","R$99,00","R$49,50"
Concreto armado eu te amo - Vol. 1,"Botelho, Manoel Henrique Campos","R$180,00","R$90,00"
Concreto armado - Eu te amo - Vol. 2,"Botelho, Manoel Henrique Campos","R$117,00","R$58,50"
Concreto armado - eu te amo - vai para a obra,"Botelho, Manoel Henrique Campos","R$142,00","R$71,00"
Construções em alvenaria estrutural,"Mohamad, Gihad (Organizador)","R$135,00","R$67,50"
Contrato de namoro,"Nigri, Tânia (Autor)","R$29,00","R$14,50"
Controle de processos industriais - vol 1,"Garcia, Claudio (Autor)","R$195,00","R$97,50"
Controle de processos industriais - vol 2,"Garcia, Claudio (Autor)","R$135,00","R$67,50"
Controle e modelagem fuzzy,"Simões, Marcelo Godoy (Autor), Shaw,","R$91,00","R$45,50"
Controle linear de sistemas dinâmicos,"Geromel, José C. (Autor), Korogui,","R$126,00","R$63,00"
Controle por computador de sistemas dinâmicos,"Hemerly, Elder M. (Autor)","R$90,00","R$45,00"
Controle programável,"Miyagi, Paulo Eigi (Autor)","R$88,00","R$44,00"
Controles típicos de equipamentos e processos industriais,"Campos, Mario Cesar M. Massa de","R$173,00","R$86,50"
Cosmologia,"Abdalla, Elcio (Autor), Saa, Alberto","R$55,00","R$27,50"
Credit scoring,"Sicsú, Abraham Laredo (Autor)","R$71,00","R$35,50"
Critérios e técnicas para o quaternário,"Salgado-Labouriau, Maria Léa (Autor)","R$127,00","R$63,50"
"Cultura, sociedade e técnica","Maldonado, Tomás (Autor)","R$104,00","R$52,00"
Curso de circuitos elétricos - vol1,"Orsini, Luiz de Queiroz (Autor),","R$112,00","R$56,00"
Curso de circuitos elétricos - vol 2,"Orsini, Luiz de Queiroz (Autor),","R$156,00","R$78,00"
Curso de física básica - vol 1,"Nussenzveig, Herch Moysés (Autor)","R$117,00","R$58,50"
Curso de física básica - vol 2,"Nussenzveig, Herch Moysés (Autor)","R$104,00","R$52,00"
Curso de física básica - vol 3,"Nussenzveig, Herch Moysés (Autor)","R$104,00","R$52,00"
Curso de física básica - vol 4,"Nussenzveig, Herch Moysés (Autor)","R$109,00","R$54,50"
Da teoria à prática no cálculo do BDI,"Tisaka, Maçahico (Autor)","R$190,00","R$95,00"
Dante e Virgílio,"Junqueira Filho, Luiz Carlos Uchôa","R$40,00","R$20,00"
De onde viemos? O que somos? Para onde vamos?,"Nussenzveig, H. Moysés (Autor)","R$49,00","R$24,50"
De que são feitas as coisas,"Miodownik, Mark (Autor)","R$39,00","R$19,50"
De que se trata?,"Krakov, Héctor Alberto (Autor)","R$50,00","R$25,00"
De um trauma ao outro,"Soler, Colette (Autor)","R$34,00","R$17,00"
Debates clínicos - vol 1,"Telles, Sérgio (Organizador), Coroa,","R$58,00","R$29,00"
Debates clínicos - vol 2,"Telles, Sérgio (Organizador), Coroa,","R$45,00","R$22,50"
Des-amparo e a mente do analista,"Mello, Rita Andréa Alcântara de","R$94,00","R$47,00"
Descomplicando a psicofarmacologia,"Herrmann, Ana Paula (Autor), Piato,","R$35,00","R$17,50"
Desemprego,"Mandelbaum, Belinda (Autor), Ribeiro,","R$35,00","R$17,50"
Desenho arquitetônico,"Montenegro, Gildo (Autor)","R$82,00","R$41,00"
Desenho de moda - vol 1,"Abling, Bina (Autor)","R$97,00","R$48,50"
Desenho de moda - vol 2,"Abling, Bina (Autor)","R$97,00","R$48,50"
Desenho de projetos,"Montenegro, Gildo (Autor)","R$48,00","R$24,00"
Desenho de vegetação em arquitetura e urbanismo,"Silva, Antonio Carlos Rodrigues (Autor)","R$49,00","R$24,50"
Design: conceitos e métodos,"Hsuan-An, Tai (Autor)","R$129,00","R$64,50"
Design de embalagem,"Roncarelli, Sarah (Autor), Ellicott,","R$104,00","R$52,00"
Design de notícias,"Moraes, Ary (Autor), Braga, Marcos","R$52,00","R$26,00"
Design de sinalização,"D'Agostini, Douglas (Autor)","R$139,00","R$69,50"
Design de superfície,"Freitas, Renata Oliveira Teixeira de","R$37,00","R$18,50"
Design e desenvolvimento,"Patrocínio, Gabriel (Organizador),","R$83,00","R$41,50"
Design gráfico,"Wolf, Peter J. (Autor)","R$47,00","R$23,50"
Design industrial: bases para a configuração dos produtos,"Löbach, Bernd (Autor)","R$99,00","R$49,50"
Design industrial: guia de materiais e fabricação,"Lesko, Jim (Autor)","R$117,00","R$58,50"
Desventuras na ciência,"Jourdane, Jim (Autor)","R$49,90","R$24,95"
Dez ensaios sobre memória gráfica,"Braga, Marcos da Costa (Autor), Farias,","R$89,00","R$44,50"
