Oficina de Textos,"Festa Virtual do Livroda USP 2021",,,
ISBN,Título,Autor,"Preço semdesconto","Preço comdesconto"
Oficina de Textos,"Festa Virtual do Livroda USP 2021",,,
9788579753459,Planejamento e controle de obras ed. 2,ALDO DÓREA MATTOS,"118,00","59,00"
9788579753282,Por que algumas obras dão certo e outras não?,ROBERTO SALEMME CORRÊA,"85,00","42,50"
9788579750793,Processos erosivos e recuperação de áreas degradadas,ANTONIO JOSÉ TEIXEIRA GUERRA,"78,00","39,00"
9788579751684,Processos metalogenéticos e os depósitos minerais brasileiros ed. 2,JOÃO CARLOS BIONDI,"235,00","117,50"
8586238503,"Radicais livres: bons, maus e naturais","PRODIVULGA,OHARA AUGUSTO","65,00","26,00"
9788579750069,Recuperação de praias e dunas,KARL F NORDSTROM,"97,00","48,50"
9788579750014,Reinforced soil walls and slopes design and construction,MAURÍCIO EHRLICH,"88,00","44,00"
9788579752179,Renascimento de florestas,ROBIN L CHAZDON,"154,00","77,00"
9788579750199,Restauração florestal,RICARDO R RODRIGUES,"170,00","85,00"
9788579750854,Rochas: manual fácil de estudos e classificação,SEBASTIÃO DE OLIVEIRA MENEZES,"49,00","24,50"
9788579750847,Roteiro de cartografia,PAULO M LEAL,"128,00","64,00"
9788579750786,Secas na Amazônia: causas e consequências,LAURA DE SIMONE BORMA,"88,00","44,00"
9788579750151,Sistema terra vida uma introdução,CHARLES COCKELL,"153,00","76,50"
9788586238895,Solos marinhos da baixada Santista,FAIÇAL MASSAD,"78,00","39,00"
9788586238925,Tempo e clima no Brasil,IRACEMA F A CAVALCANTE,"148,00","74,00"
9788579751097,Tensões e deformações em geologia,ALBERTO PIO FIORI,"94,00","47,00"
9786586235074,"Trincas em edifícios: causas, prevenção e recuperação ed. 2",ERCIO THOMAZ,"85,00","42,50"
9788586238680,Tudo o que você queria saber sobre plantas,SUELI ANGELO FURLAN,"31,00","10,00"
9788586238758,Turismo de aventura em vulcões,ROSALY LOPES,"198,00","41,40"
9788586238772,Um futuro para amazônia,BERTHA K BCKER,"65,00","26,00"
