TÍTULO,AUTOR (A),PREÇO CAPA,PREÇO COM DESCONTO
A moralidade da democracia,"Avritzer, Leonardo","R$                 44,90","R$                       22,45"
A morte da tragédia,"Steiner, George","R$                 64,90","R$                       32,45"
A música clássica da Índia,"Marsicano, Alberto","R$                 54,90","R$                       27,45"
A música de invenção 2,"Campos, Augusto de","R$                 54,90","R$                       27,45"
A música e o inefável,"Jankelevitch, Vladimir","R$                 69,90","R$                       34,95"
A música grega,"Reinach, Theodore","R$                 64,90","R$                       32,45"
A música hoje,"Boulez, Pierre","R$                 44,90","R$                       22,45"
A nova arte,"Battcock, Gregory","R$                 59,90","R$                       29,95"
A ópera alemã,"Coelho, Lauro Machado","R$               129,90","R$                       64,95"
A ópera barroca italiana,"Coelho, Lauro Machado","R$              104,90","R$                       52,45"
A ópera clássica italiana,"Coelho, Lauro Machado","R$               104,90","R$                       52,45"
A ópera inglesa,"Coelho, Lauro Machado","R$               104,90","R$                       52,45"
A ópera italiana apos 1870,"Coelho, Lauro Machado","R$              109,90","R$                       54,95"
A ópera na franca,"Coelho, Lauro Machado","R$               104,90","R$                       52,45"
A ópera na Rússia,"Coelho, Lauro Machado","R$                 74,90","R$                       37,45"
A ópera nos Estados Unidos,"Coelho, Lauro Machado","R$              129,90","R$                       64,95"
A ópera Tcheca,"Coelho, Lauro Machado","R$                 84,90","R$                       42,45"
A orquestra do Reich,"Aster, Misha","R$                 89,90","R$                       44,95"
A ostra e a pérola,"Mariz, Adriana Dantas De","R$                 69,90","R$                       34,95"
A paixão segundo a ópera,"Coli, Jorge","R$                 39,90","R$                       19,95"
A partilha da África negra,"Brunschwig, Henri","R$                 39,90","R$                       19,95"
A personagem de ficção,"Candido, Antonio; Rosenfeld, Ana","oRl$;  P  r  a  d  o  ,   D  é 3c9i,o9 0d","ARlm$  e  i d  a   ;  G   o  m    e  s1 ,9 P,9au5l"
A poética de Maiakovski,"Schnaiderman, Boris","R$                 69,90","R$                       34,95"
A poética de sem lugar,"Doria, Gisela","R$                 44,90","R$                       22,45"
A politização dos direitos humanos,"Belli, Benoni","R$                 74,90","R$                       37,45"
A prova de Godel,"Nagel, Ernest; Newman, James R.","R$                 39,90","R$                       19,95"
A realidade figurativa,"Francastel, Pierre","R$              104,90","R$                       52,45"
A reoperação do texto,"Campos, Haroldo de","R$                 54,90","R$                       27,45"
A Representação da criança na literatura infantojuvenil,"Coelho, Isabel Lopes","R$                 59,90","R$                       29,95"
A república de Platão,,"R$                 89,90","R$                       44,95"
A Revolução Holandesa,"Alburquerque, Roberto Chacon d","R$                 59,90","R$                       29,95"
A Revolução Russa de 1917,"Ferro, Marc","R$                 44,90","R$                       22,45"
A significação no cinema,"Metz, Christian","R$                 64,90","R$                       32,45"
A simulação da morte,"Vaz, Lucio","R$                 54,90","R$                       27,45"
A síntese histórica e a Escola dos Anais,"Gurievitch, Aaron","R$                 84,90","R$                       42,45"
A sombra de outubro,"Dardot, Pierre; Laval, Christian","R$                 64,90","R$                       32,45"
A sombra de Ulisses,"Boitani, Piero","R$                 74,90","R$                       37,45"
A subordinação ao nosso existir,"Coutinho, Evaldo","R$                 64,90","R$                       32,45"
A teoria da alteridade jurídica,"Camillo, Carlos Eduardo Nicolletti","R$                 39,90","R$                       19,95"
A teoria geral dos signos,"Walther-Bense, Elisabeth","R$                 54,90","R$                       27,45"
A teoria que não morreria,"Mcgrayne, Sharon Bertsch","R$               104,90","R$                       52,45"
A terra de cinzas e diamantes,"Barba, Eugenio","R$                 69,90","R$                       34,95"
A tradução como manipulação,"Aslanov, Cyril","R$                 39,90","R$                       19,95"
A tragédia grega,"Lesky, Albin","R$                 69,90","R$                       34,95"
A utilidade do conhecimento,"Vogt, Carlos","R$                 79,90","R$                       39,95"
A vertical do papel,"Alschitz, Jurij","R$                 39,90","R$                       19,95"
A vida na cidade: como estudar,"Gehl, Jan","R$              109,90","R$                       54,95"
Adeus a Emmanuel Lévinas,"Derrida, Jacques","R$                 44,90","R$                       22,45"
Afrografias da Memória,"Martins, Leda Maria","R$                 69,90","R$                       34,95"
Agamemnon de Ésquilo,"Vieira, Trajano","R$                 59,90","R$                       29,95"
Alda Garrido,"Metzler, Marta","R$                 64,90","R$                       32,45"
Alegoria em jogo,"Gama, Joaquim C. M.","R$                 59,90","R$                       29,95"
Além dos limites,"Feral, Josette","R$               104,90","R$                       52,45"
Algo preto,"Roubaud, Jacques","R$                 54,90","R$                       27,45"
Almas mortas,"Gogol, Nikolai","R$                 94,90","R$                       47,45"
Alquimistas do palco,"Schino, Mirella","R$                 84,90","R$                       42,45"
"Alteridade, memória e narrativa","Bezerra, Antonia Pereira","R$                 54,90","R$                       27,45"
Amor e justiça em Levinas,"Ribeiro, Nilo","R$                 64,90","R$                       32,45"
Análise dos espetáculos: teatro-mímica,"Pavis, Patrice","R$                 84,90","R$                       42,45"
Analogia do dissimilar,"Machado, Irene A.","R$                 54,90","R$                       27,45"
Animais domésticos e outras receitas,"Chnaiderman, Luana","R$                 44,90","R$                       22,45"
"Antígona, intríga e enigma","Rosenfield, Kathrin Holzermayr","R$                 64,90","R$                       32,45"
Antígone de Sófocles,"Vieira, Trajano","R$                 54,90","R$                       27,45"
Antônio Fagundes no palco da historia: um ator,"Patriota, Rosangela","R$                 94,90","R$                       47,45"
Antropologia da comunicação visual,"Canevacci, Massimo","R$                 59,90","R$                       29,95"
Apelos,"Copeau, Jacques","R$                 94,90","R$                       47,45"
Apocalípticos e integrados,"Eco, Umberto","R$                 84,90","R$                       42,45"
Apontamentos de aprendiz,"Boulez, Pierre","R$                 89,90","R$                       44,95"
Apresentação do teatro brasileiro moderno,"Prado, Décio de Almeida","R$                 89,90","R$                       44,95"
Argonáuticas,"De Rodes, Apolônio","R$                 89,90","R$                       44,95"
Arqueologia da política,"Lima, Paulo Butti de","R$                 54,90","R$                       27,45"
Arquitetura contemporânea no Brasil,"Bruand, Yves","R$              119,90","R$                       59,95"
Arquitetura e judaísmo: Mendelsohn,"Zevi, Bruno","R$                 74,90","R$                       37,45"
Arquitetura italiana em São Paulo,"Salmoni, Anita; Debenedetti, Em","aR$                 49,90","R$                       24,95"
Arquitetura pós-industrial,"Raja, Raffaele","R$                 74,90","R$                       37,45"
"Arquitetura, industrialização e desenvolvimento","Bruna, Paulo J. V.","R$                 69,90","R$                       34,95"
Arte do ator entre os séculos XVI e XVIII,"Portich, Ana","R$                 64,90","R$                       32,45"
Arte e política no Brasil,,"R$              104,90","R$                       52,45"
Arte e seu tempo,"Leirner, Sheila","R$                 84,90","R$                       42,45"
Arte-educação no Brasil,"Barbosa, Ana Mae","R$                 39,90","R$                       19,95"
As bacantes de Eurípides,"Vieira, Trajano","R$                 59,90","R$                       29,95"
As clínicas públicas de Freud,"Danto, Elizabeth Ann","R$                 89,90","R$                       44,95"
As estruturas e o tempo,"Segre, Cesare","R$                 64,90","R$                       32,45"
As estruturas narrativas,"Todorov, Tzvetan","R$                 54,90","R$                       27,45"
As formas do conteúdo,"Eco, Umberto","R$                 59,90","R$                       29,95"
As ilhas,"Grenier, Jean","R$                 54,90","R$                       27,45"
As ilusões da modernidade,"Barbosa, João Alexandre","R$                 49,90","R$                       24,95"
As lendas do povo judeu,"Gorion, Bin","R$               104,90","R$                       52,45"
As máscaras mutáveis do Buda dourado,"Olsen, Mark","R$                 54,90","R$                       27,45"
As nazi-tatuagens,"Ramos, Celia Maria Antonacci","R$                 49,90","R$                       24,95"
As paixões na narrativa,"Leal, Hermes Filho","R$                 49,90","R$                       24,95"
As redes dos oprimidos,"Pozo, Tristan Castro","R$                 39,90","R$                       19,95"
As revoluções do México,"Nunes, Americo","R$                 49,90","R$                       24,95"
As Tramas do Fantástico,"Hoffmann, E.T.A.","R$                 79,90","R$                       39,95"
"As três irmãs, de Tchékhov, por Stanislávski","Barbosa, Tieza Tissi","R$                 69,90","R$                       34,95"
As Vinte e nove cartas,"Azevedo, Sônia Machado de","R$                 39,90","R$                       19,95"
Assassinato como obra de arte total,"Apollinaire, Guillaume; De Quinc","yR, T$h  o   m    a  s  P   e 6n4s,o9n0;","rRe$m   ó  n   ,  J o   s é    F  e  r3 n2á,n45de"
August Stramm: poemas-estalactites,"Campos, Augusto de","R$                 44,90","R$                       22,45"
Autoescrituras performativas,"Leite, Janaina Fontes","R$                 59,90","R$                       29,95"
Autopoiesis. Semiótica. Escritura,"Elias, Eduardo De Oliveira","R$                 69,90","R$                       34,95"
Averrois: a arte de governar,"Pereira, Rosalie Helena De Souza","R$                 79,90","R$                       39,95"
Avicena: a viagem da alma,"Pereira, Rosalie Helena De Souza","R$                 89,90","R$                       44,95"
Balanço da bossa e outras bossas,"Campos, Augusto de","R$                 79,90","R$                       39,95"
Barbara heliodora: escritos sobre teatro,,"R$               189,90","R$                       94,95"
Barroco e modernidade,"Chiampi, Irlemar","R$                 54,90","R$                       27,45"
Barulho de Preto,"Rose, Tricia","R$                 69,90","R$                       34,95"
Bauhaus: novarquitetura,"Gropius, Walter","R$                 59,90","R$                       29,95"
