Título,Autor,Preço de capa,Preço com desconto
"Pequeno Príncipe, O - No Planeta do Ludok","aS a-i nvto-lE. x1u2péry, Antoin","R$                33,00","R$                      16,50"
"Pequeno Príncipe, O - No Planeta do Tempo","S- avionlt. -1E8xupéry, Antoin","R$                33,00","R$                      16,50"
"Pequeno Príncipe, O - No Planeta dos Amic","pSeasin -t -vEoxlu. p7éry, Antoin","R$                33,00","R$                      16,50"
"Pequeno Príncipe, O - No Planeta dos Cara","oSdaeinst -E vxoulp. é8ry, Antoin","R$                33,00","R$                      16,50"
"Pequeno Príncipe, O - No Planeta dos Libris","-S vaoinl.t -1E1xupéry, Antoin","R$                33,00","R$                      16,50"
"Pequeno Príncipe, O - No Planeta dos Olhos","S- avionlt.- 6Exupéry, Antoin","R$                33,00","R$                      16,50"
"Pequeno Príncipe, O - No Planeta dos Vago","Saauitnats- E-x vuopl.é 1ry0, Antoin","R$                33,00","R$                      16,50"
PERG.RESP.COMENT.EM CARDIOLO,"DIAa-llDanA,L LLuAísN Augusto","lRm$a  /   T  im   e  r m   a 9n4,, S0e0r","ioR $(e  d  i  t o  r  e  s  )       47,00"
Planejamento e Controle da Produção 2a ed.,"RCheivaivseandat eo ,A Idtuaalbliezartdo","R$                77,00","R$                      38,50"
Planejamento Financeiro Pessoal e Gestão,"oS oPuastari,m Aôlmniior F- eFrurenidra","eRn /t$ oT so  r er  aP l v r áo t ,i cC 1a1si3o, F0r0a","aRta$  /  K   r a   u  t  e  r ,   E  l5 iz6a,b5e0t"
