Título,Autor,Preço,Preço com desconto
ADEUS AO MEDO DE FALAR EM PUBLICO,Ruthe Rocha Pombo,"R$24,90","R$                            12,45"
PESQUISA PARTICIPANTE,Danilo Romeu Streck,"R$28,10","R$                            14,05"
CONTRA-HISTORIA DO LIBERALISMO,Domenico Losurdo,"R$56,90","R$                            28,45"
GENTILEZA NO TRABALHO,Luiz Gabriel Tiago,"R$12,90","R$                              6,45"
DIANTE DA DEPRESSAO,Dr. Juan Antonio Vallejo-Nágera,"R$29,90","R$                            14,95"
GESTAO PLURIDIMENSIONAL PARA EXECUTIVOS DE VISAO,Mauricio C. Serafim,"R$29,90","R$                            14,95"
AUTOCENSURA E COMPROMISSO NO PENSAMENTO POLITICO DE KANT,Domenico Losurdo,"R$39,90","R$                            19,95"
KANT E O FIM DA MODERNIDADE,Marcio Tadeu Girotti,"R$39,90","R$                            19,95"
ORIENTACAO SEXUAL,Ênio Bito Pinto,"R$39,90","R$                            19,95"
FUNDAMENTOS DA MUSCULACAO,Sanderson Cavalcanti,"R$59,90","R$                            29,95"
CIDADES-TOTAIS: O (NADA),Marcos Marques de Oliveira,"R$26,90","R$                            13,45"
LINGUAGEM E PSICOTERAPIA GESTALTISTA,Vera Felicidade de Almeida Campos,"R$29,90","R$                            14,95"
UMA INTRODUCAO A ETICA EVOLUTIVA,Scott M. James,"R$59,90","R$                            29,95"
"PSICOLOGIA E ANTROPOLOGIA, VIDA HUMANA EM CONSTRUCAO",José Luiz Cazarotto,"R$29,90","R$                            14,95"
DEUSES EM GUERRA E PACTO,Maria Cecilia Domezi,"R$29,90","R$                            14,95"
DESIGUALDADE ECONOMICA NO BRASIL,Marcio Pochmann,"R$29,90","R$                            14,95"
PARA LER E ESCREVER TEXTOS FILOSOFICOS,Claudinei Luiz Chitolina,"R$39,90","R$                            19,95"
PSICOLOGIA SOCIAL DOS VALORES,Pascal Morchain,"R$39,90","R$                            19,95"
CHAVES DE LEITURA PARA A FILOSOFIA CONTEMPORANEA,Ozanan Vicente Carrara (Org.),"R$29,90","R$                            14,95"
PSICOLOGIA DO DESENVOLVIMENTO RELIGIOSO,Mauro M. Amatuzzi,"R$39,90","R$                            19,95"
DO NARCISISMO A DEPENDENCIA,Daniel Cardozo Severo,"R$24,90","R$                            12,45"
"MEU GATO, MINHA ORACAO",Herbert Brokering,"R$19,90","R$                              9,95"
ANTIMANUAL DE GESTAO,Valquíria Padilha (Org.),"R$54,90","R$                            27,45"
RESILIENCIA: PARA LIDAR COM PRESSOES E SITUACOES ADVERSAS,José Carlos Pereira,"R$24,90","R$                            12,45"
SALVAR A ESCOLA NA ERA DIGITAL,Giovanni Reale,"R$24,90","R$                            12,45"
DINAMICAS PEDAGOGICAS,Canísio Mayer,"R$25,90","R$                            12,95"
REINVENTAR A VIDA,Daniele John,"R$24,90","R$                            12,45"
"PODER DO PODER DA COMUNICACAO, O",Dulce A. Adorno-Silva,"R$29,90","R$                            14,95"
HISTORIA DAS RELIGIOES E A DIALETICA DO SAGRADO,Leonardo Arantes Marques,"R$85,90","R$                            42,95"
COMUNICACAO ESTRATEGICA EM TEMPOS DE CRISE,Everton Bastazini Barbosa,"R$19,90","R$                              9,95"
101 REFLEXOES PARA EVITAR QUE SUA EMPRESA ENTRE EM CRISE,Rivaldo Chinem,"R$24,90","R$                            12,45"
UM SENTIDO PARA VIDA,Viktor E. Frankl,"R$30,00","R$                            15,00"
METODOLOGIA CIENTIFICA,Francisco Tarciso Leite,"R$29,90","R$                            14,95"
IDEIAS PARA UMA FENOMENOLOGIA PURA,Edmund Husserl,"R$49,90","R$                            24,95"
TRAFICO DE PESSOAS,Maria Quinteiro (Org.),"R$29,90","R$                            14,95"
PSICANALISE DAS ADICCOES,Gerard Pilot,"R$45,00","R$                            22,50"
