ISBN,DESCRIÇÃO,PREÇO,Desc 50%
9788598750842,CALLIS - ARTE BIZANTINA - ARTE NA IDADE MEDIA - 1ED -,"R$ 36,90","R$ 18,45"
9788598750163,CALLIS - ARTE E SOCIEDADE NO BRASIL - VOL. I - 2ED,"R$ 45,90","R$ 22,95"
9788598750224,CALLIS - ARTE E SOCIEDADE NO BRASIL - VOL. II - 2ED,"R$ 45,90","R$ 22,95"
9788598750859,CALLIS - ARTE GOTICA - ARTE NA IDADE MEDIA - 1ED - BR,"R$ 36,90","R$ 18,45"
9788598750835,CALLIS - ARTE ISLAMICA - ARTE NA IDADE MEDIA - 1ED - B,"R$ 36,90","R$ 18,45"
9788598750811,CALLIS - ARTE PRIMITIVA CRISTA - ARTE NA IDADE MEDIA -,"R$ 36,90","R$ 18,45"
9788598750828,CALLIS - ARTE ROMANICA E BARBARA - ARTE NA IDADE MEDIA,"R$ 36,90","R$ 18,45"
9788574164472,CALLIS - BACH - CRIANCAS FAMOSAS - 2ED - BR,"R$ 32,90","R$ 16,45"
9788574166421,"CALLIS - BAGUNCA DA MACACA, A - 3ED - BR","R$ 35,90","R$ 17,95"
9788574167442,CALLIS - BAGUNCA NA COZINHA - 2ED,"R$ 35,90","R$ 17,95"
9788574169149,"CALLIS - BALEIA KEELUT, A","R$ 42,90","R$ 21,45"
