"FESTA VIRTUALDO LIVRO DA USP 2021Lista de títulos",,,
TÍTULO,AUTOR(A),"PREÇODE CAPA","PREÇOCOM DESCONTO"
TREM BOM É COISA BOA,Márcia Batista,"R$ 30,00","R$ 15,00"
UM CISCO NO OLHO DE SÃO FRANCISCO,Olegário Alfredo,"R$ 20,00","R$ 10,00"
UM MENINO INVISÍVEL,José Marcelo Rodrigues Freire,"R$ 35,00","R$ 17,50"
UM NUMERO MÁGICO,Cristina Gomide,"R$ 30,00","R$ 15,00"
UM OLHAR SOBRE AS PRÁTICAS DE AVALIAÇÃO NA ESCOLA,Suzana Gomes,"R$ 45,00","R$ 22,50"
UM TIGRE NA FLORESTA DE SIGNOS,Edimilson de Almeida Pereira,"R$ 70,00","R$ 35,00"
VAMPIRILAMPO,Ronaldo Simões Coelho,"R$ 30,00","R$ 15,00"
VISIBILIDADES E DESAFIOS,Wilma Baía Coelho; Nicelma Josenila Brito Soares,"R$ 35,00","R$ 17,50"
ZUMBI DOS PALMARES EM CORDEL,Madu Costa,"R$ 30,00","R$ 15,00"
ZUMBI DOS PALMARES,Marcos Antônio Cardoso; Maria de Lourdes Siqueira,"R$ 35,00","R$ 17,50"
