"",,,,,"Lista delivros FestaVirtual dolivro da USP2021",
"",,,,,,
Título,ISBN,Autor,Preço Capa,Desc,,Preço com d
ESCUTA,,,,,,
"Perturbador Mundo Novo: História, Psicanálise e Sociedade Conte",p9ô7r8a8n5e7a1 13479027 15900 199,Luiz Carlos Uchôa Junqueira Fi,"hRo$      128,00",50%,"R$          64,00"
"Representação, A",9788571370104,NICOLAIDIS,"R$       82,00",50%,"R$          41,00"
"Trabalho Da Psicanálise, O",9788571373105,Joseph Aguayo,"R$      115,00",50%,"R$          57,50"
Abertura Para Uma Discoteca,9788571371620,Roland de Candé,"R$     122,00",50%,"R$          61,00"
Constituição Do Inconsciente Em Práticas Clínicas Na França Do S,"9cu7l8o8 X57ix1,3 A71804",Sidnei José Cazeto,"R$      128,00",50%,"R$          64,00"
Estados-da-alma da Psicanalise: Ensaios: Filosofia,9788571371774,Jacques Derrida,"R$       43,00",50%,"R$          21,50"
Psicanálise De Casal E Família,9788571374294,Silvia Brasiliano,"R$        75,00",50%,"R$          37,50"
Sigmund Freud: O Século da Psicanálise 1895 - 1995 vol 3,9788571371026,Emilio Rodrigué,"R$      128,00",50%,"R$          64,00"
Vínculos e Instituições,9788571372030,Roberto Corrêa,"R$       53,00",50%,"R$          26,50"
Mosaico De Letras,9788571371460,Urania Tourinho Peres,"R$      109,00",50%,"R$          54,50"
Universidade E Governo,9788571372238,Mônica Teixeira,"R$      106,00",50%,"R$          53,00"
Teoria e Técnica da Psicanálise: Estudos,9780000432971,Vários autores,"R$      115,00",50%,"R$          57,50"
"Comunicação Do Diagnóstico Na Uti Neonatal, A",9788571374171,Ethel Cukierkorn Battikha,"R$        43,00",50%,"R$          21,50"
Fenomenologia Da Vida De Michel Henry,9788571373495,André Eduardo Aguirre Antúne,"R$      106,00",50%,"R$          53,00"
"Manuscrito Perdido de Freud, O",9780005345771,H. Haydt de S. Mello,"R$      103,00",50%,"R$          51,50"
"Prova Pela Fala, A",9788571371347,ROLAND GORI,"R$       96,00",50%,"R$          48,00"
Quem Vê Perfil Não Vê Coração,9788571374317,Antonio Carlos de Barros Jr,"R$       59,00",50%,"R$          29,50"
"Carvalho E O Pinheiro, O",9788571371880,Ines Loureiro,"R$      129,00",50%,"R$          64,50"
Diagnosticar em Psicanalise.vol4,9788571374546,Sandra L. Berta e Glaucia N. de,"SRou$z  a   ( 1O0r3g,s0.)0",50%,"R$          51,50"
Dialética da Vertigem: Adorno e a Filosofia Moral,9788571372443,Douglas Garcia Alves Júnior,"R$      129,00",50%,"R$          64,50"
Diálogos Psicanalíticos Contemporâneos: O Representável e o Irrep,e9s7e8n8tá5v7e1l3 e7m3 7A2n3dré Gr,eTna ely Ta hSo.m Caasn Hdi. Ogden,"R$     123,00",50%,"R$          61,50"
Filósofos E Terapeutas,9788571372597,Daniel Omar Perez,"R$      109,00",50%,"R$          54,50"
"Que Fala O Corpo Do Bebê, Do",9788571373396,Regina Orth de Aragão,"R$      109,00",50%,"R$          54,50"
Tdah,9788571373976,Marianna da Gama e Silva,"R$       72,00",50%,"R$          36,00"
"Normopatia na Formação do Analista, A",9788571372702,SALEME,"R$        63,00",50%,"R$          31,50"
"Paixão Silenciosa, A",9788571371903,Maria Helena de Barros e Silva,"R$       43,00",50%,"R$          21,50"
"Conta De Novo, Mãe",9788571373013,Renate Meyer Sanches,"R$        34,00",50%,"R$          17,00"
"Linguagem Dos Bebês, A",9788571371187,Marie-Claire Busnel,"R$      128,00",50%,"R$          64,00"
Psicopatologia Dos Ataques De Pânico,9788571372115,Mário Eduardo Costa Pereira,"R$        99,00",50%,"R$          49,50"
Sobre Amores E Exílios,9788571373341,Andréa Brunetto,"R$        53,00",50%,"R$          26,50"
"Pensamento Japonês, O",9788571370470,OSHIMA/ALMEIDA,"R$       63,00",50%,"R$          31,50"
Desafios Atuais das Praticas Em Hospitais e Nas Instituiçoes de Sa,d9e788571373969,Heloisa Marcon,"R$     109,00",50%,"R$          54,50"
Breve História Da Bunda,9788571373488,Jean Luc-Hennig,"R$        81,00",50%,"R$          40,50"
"Lugar De Vida, Vinte Anos Depois",9788571373020,M. Cristina M. Kupfer,"R$     111,00",50%,"R$          55,50"
De Bebê A Sujeito,9788571373624,Leda Mariza Fischer Bernardin,"R$        99,00",50%,"R$          49,50"
Histórias de Uma Supervisão,9788571374416,Miguel Angelo Yalenti Perosa /,"DRan$i e  l   P  u4c4c,0i 0",50%,"R$          22,00"
Obsessiva Neurose,9788571372375,Manoel Tosta Berlinck,"R$      139,00",50%,"R$          69,50"
Psicanálise: Igual - Desigual,9788571373853,Rachel Rangel,"R$       44,00",50%,"R$          22,00"
Psicossexualidades,9788571373891,Teresa Rocha Leite Haudenschi,"dR$        83,00",50%,"R$          41,50"
Clínica Psicanalítica Estudos,9788571370074,Pierre Fédida,"R$        51,00",50%,"R$          25,50"
Elasticidade e Limite na Clínica Contemporânea,9788571373372,Luís Claudio Figueredo,"R$      114,00",50%,"R$          57,00"
"Obesidade Não Toda Ou Quando A Gordura Fala, A",9788571374058,Daniel Hamer Roizman,"R$        49,50",50%,"R$          24,75"
LINK
""
https://www.livrariapulsional.com/a-arte-nos-sonha-p1086
https://www.livrariapulsional.com/narcisismo-de-vida-narcisismo-de-morte-p468
https://www.livrariapulsional.com/espinosa-filosofia-pratica-p634
https://www.livrariapulsional.com/identificacao-e-enlacamento-social-a-importancia-do-fator-libidinal-p265
https://www.livrariapulsional.com/os-rumos-da-psicanalise-no-brasil-um-estudo-sobre-a-transmissao-psicanalitica-p434
https://www.livrariapulsional.com/praticas-inclusivas-ii-desafios-para-o-ensino-e-a-aprendizagem-do-aluno-sujeito-p1019
https://www.livrariapulsional.com/falar-em-publico-p347
https://www.livrariapulsional.com/conversa-sobre-terapia-p396
https://www.livrariapulsional.com/vampiros-e-lobisomens-o-hibrido-p134
https://www.livrariapulsional.com/psicanalise-linguistica-linguisteria-p309
https://www.livrariapulsional.com/criar-a-mente-psicanalitica-teoria-e-metodo-psicanalitico-p473
https://www.livrariapulsional.com/um-mosaico-da-depressao-dos-sujeitos-singulares-aos-transtornos-universais-p294
https://www.livrariapulsional.com/mudancas-no-relacionamento-afetivo-sexual-p298
https://www.livrariapulsional.com/forcas-do-destino-p1121
https://www.livrariapulsional.com/a-loucura-privada-psicanalise-de-casos-limite-p233
https://www.livrariapulsional.com/entre-duas-eternidades-p1111
https://www.livrariapulsional.com/o-que-faz-lacoy-p782
"https://www.livrariapulsional.com/encontro-com-a-daseinsanalyse-a-obra-ser-e-tempo-de-heidegger,-como-fundamento-da-terapia-daseinsanalitica-p1088"
https://www.livrariapulsional.com/arthur-um-autista-no-seculo-xix-p1011
